t,vx,vy,omega,delta,T,eps_vx,eps_vy,eps_omega,eC,eL,pos_x,pos_y,ref_x,ref_y,lap,theta
27133.255816,0.400000,0.020000,0.000000,-0.003572,0.510000,-0.032146,0.020532,0.013531,-0.007404,0.024972,1.491694,3.007404,1.516667,3.000000,0,0.532177
27133.287908,0.400000,0.020000,0.000000,-0.006619,0.520000,-0.137977,0.046525,0.939529,-0.012898,0.031617,1.498383,3.012898,1.530000,3.000000,0,0.534134
27133.319148,0.295743,0.045472,0.911792,-0.016327,0.530000,-0.145862,0.001814,0.043591,-0.009776,0.035451,1.497882,3.009776,1.533333,3.000000,0,0.534134
27133.324307,0.183811,-0.000037,-0.001485,-0.020459,0.540000,-0.040521,0.000009,0.000359,-0.008250,0.036558,1.496775,3.008250,1.533333,3.000000,0,0.534134
27133.332957,0.149272,0.000000,0.000000,-0.023036,0.550000,-0.001066,0.000000,0.000000,-0.008286,0.035329,1.498004,3.008286,1.533333,3.000000,0,0.534134
27133.352956,0.158545,0.000000,0.000000,-0.025173,0.560000,0.007984,0.000000,0.000000,-0.008514,0.030788,1.502546,3.008514,1.533333,3.000000,0,0.534134
27133.396240,0.190988,0.000000,0.000000,-0.026925,0.570000,-0.019564,0.000246,0.007180,-0.008131,0.025227,1.508106,3.008131,1.533333,3.000000,0,0.536504
27133.402599,0.225242,-0.002435,-0.063992,-0.028111,0.580000,0.039601,-0.000335,-0.009549,-0.009099,0.016381,1.516953,3.009099,1.533333,3.000000,0,0.544224
27133.412970,0.272936,-0.002977,-0.079290,-0.028644,0.590000,0.001674,0.000024,0.000747,-0.009133,0.023016,1.520317,3.009133,1.543333,3.000000,0,0.552214
27133.432960,0.288024,-0.003269,-0.086847,-0.029574,0.600000,0.006726,-0.000065,-0.001731,-0.008074,0.022544,1.527456,3.008074,1.550000,3.000000,0,0.559086
27133.452959,0.321131,-0.003798,-0.101587,-0.029573,0.610000,-0.001765,0.000019,0.000543,-0.007573,0.022501,1.534165,3.007573,1.556667,3.000000,0,0.568031
27133.497864,0.346230,-0.004088,-0.109922,-0.029221,0.620000,-0.016632,0.000164,0.004693,-0.008278,0.021471,1.545195,3.008278,1.566667,3.000000,0,0.579253
27133.503218,0.390851,-0.004527,-0.122727,-0.028193,0.630000,0.035529,-0.000461,-0.012893,-0.008343,0.018700,1.557967,3.008343,1.576667,3.000000,0,0.593440
27133.512958,0.433827,-0.004963,-0.135486,-0.026805,0.637891,0.002782,-0.000173,-0.004733,-0.008315,0.030060,1.563273,3.008315,1.593333,3.000000,0,0.605206
27133.532973,0.450282,-0.004947,-0.136452,-0.025609,0.647891,0.006922,-0.000090,-0.002999,-0.008764,0.028464,1.574869,3.008764,1.603333,3.000000,0,0.615709
27133.552942,0.485778,-0.004862,-0.134980,-0.024277,0.657891,0.004453,-0.000072,-0.002502,-0.007564,0.026849,1.586485,3.007564,1.613333,3.000000,0,0.628817
27133.598967,0.519146,-0.004876,-0.136346,-0.022211,0.667891,-0.027364,0.000077,0.001850,-0.006607,0.026394,1.600273,3.006607,1.626667,3.000000,0,0.643780
27133.604852,0.559125,-0.004791,-0.135872,-0.019233,0.677828,0.050206,-0.000612,-0.016362,-0.006017,0.019706,1.623628,3.006017,1.643333,3.000000,0,0.664917
27133.612933,0.618108,-0.005075,-0.144906,-0.015471,0.679033,-0.000227,-0.000617,-0.014453,-0.005899,0.034714,1.628619,3.005899,1.663333,3.000000,0,0.682234
27133.632923,0.629818,-0.004812,-0.140100,-0.012064,0.689033,0.011739,-0.000215,-0.008134,-0.005596,0.032743,1.647257,3.005596,1.680000,3.000000,0,0.696387
