t,vx,vy,omega,delta,T,eps_vx,eps_vy,eps_omega,eC,eL,pos_x,pos_y,ref_x,ref_y,lap,theta
29407.265627,0.400000,0.020000,0.000000,-0.000896,0.510000,-0.035278,0.020106,0.002238,-0.004238,0.025142,0.998191,3.004238,1.023333,3.000000,0,0.038841
29407.299845,0.400000,0.020000,0.000000,-0.001645,0.520000,-0.177497,0.002612,0.108635,-0.005998,0.033417,1.003249,3.005998,1.036667,3.000000,0,0.040745
29407.331479,0.258502,0.002381,0.103012,-0.006731,0.530000,-0.052649,0.000637,0.017034,-0.007901,0.031379,1.008621,3.007901,1.040000,3.000000,0,0.040748
29407.336864,0.241028,-0.000155,-0.004029,-0.011186,0.540000,-0.055792,0.000887,0.021457,-0.007086,0.032585,1.007415,3.007086,1.040000,3.000000,0,0.040750
29407.345425,0.191416,0.000000,-0.000000,-0.014895,0.550000,-0.000878,0.000226,0.004903,-0.007138,0.031017,1.008983,3.007138,1.040000,3.000000,0,0.040750
29407.365426,0.200704,-0.000218,-0.004252,-0.017649,0.560000,-0.001043,0.000304,0.008624,-0.007828,0.026847,1.013153,3.007828,1.040000,3.000000,0,0.042307
29407.409222,0.223949,-0.001310,-0.034033,-0.019863,0.570000,-0.037002,0.000774,0.020782,-0.008453,0.023045,1.016955,3.008453,1.040000,3.000000,0,0.046105
29407.415911,0.241202,-0.001463,-0.038825,-0.021875,0.580000,0.014711,0.000492,0.011711,-0.006674,0.021381,1.021953,3.006674,1.043333,3.000000,0,0.051939
29407.425419,0.264397,-0.001599,-0.042551,-0.022520,0.590000,0.030116,-0.000126,-0.002966,-0.007704,0.018969,1.031031,3.007704,1.050000,3.000000,0,0.060564
29407.445432,0.306817,-0.002550,-0.066402,-0.022868,0.600000,-0.004948,0.000167,0.004454,-0.007561,0.022975,1.037025,3.007561,1.060000,3.000000,0,0.069547
29407.465426,0.328203,-0.002876,-0.077075,-0.023127,0.610000,-0.001820,0.000181,0.004774,-0.007220,0.022862,1.043804,3.007220,1.066667,3.000000,0,0.078206
29407.513643,0.353210,-0.003086,-0.083120,-0.022669,0.620000,-0.032039,0.000372,0.010582,-0.008284,0.023189,1.053478,3.008284,1.076667,3.000000,0,0.088434
29407.519437,0.386843,-0.003358,-0.090963,-0.022154,0.630000,0.057942,-0.000422,-0.012751,-0.009195,0.011325,1.075341,3.009195,1.086667,3.000000,0,0.106045
29407.526925,0.452847,-0.003865,-0.105987,-0.021036,0.634638,-0.000596,-0.000103,-0.002423,-0.009247,0.024341,1.078992,3.009247,1.103333,3.000000,0,0.121606
29407.545401,0.462653,-0.003940,-0.108245,-0.019931,0.644638,0.004076,-0.000094,-0.003236,-0.009125,0.030261,1.089739,3.009125,1.120000,3.000000,0,0.131150
29407.565401,0.492867,-0.003880,-0.108245,-0.018274,0.654638,0.008207,-0.000355,-0.009692,-0.009829,0.026819,1.103181,3.009829,1.130000,3.000000,0,0.145005
29407.615151,0.529805,-0.004028,-0.112456,-0.016653,0.664638,-0.039259,-0.000489,-0.012535,-0.009661,0.027316,1.116017,3.009661,1.143333,3.000000,0,0.160398
29407.620443,0.562670,-0.004216,-0.118456,-0.014854,0.674638,0.053276,-0.000850,-0.022532,-0.009749,0.016457,1.143543,3.009749,1.160000,3.000000,0,0.182539
29407.627013,0.623784,-0.004584,-0.131053,-0.014080,0.677000,0.001603,-0.000357,-0.008698,-0.009808,0.031426,1.148574,3.009808,1.180000,3.000000,0,0.201537
29407.645425,0.635042,-0.004266,-0.125439,-0.013410,0.687000,0.003432,-0.000055,-0.001861,-0.009792,0.037622,1.162378,3.009792,1.200000,3.000000,0,0.213503
29407.665423,0.665949,-0.003448,-0.103200,-0.013142,0.697000,0.000668,-0.000076,-0.002451,-0.010122,0.036863,1.176470,3.010122,1.213333,3.000000,0,0.229065
29407.711291,0.696833,-0.003392,-0.100451,-0.013289,0.707000,-0.028493,0.000048,0.002331,-0.009957,0.029939,1.196728,3.009957,1.226667,3.000000,0,0.247903
29407.716782,0.738215,-0.003486,-0.103611,-0.014000,0.715382,0.046605,-0.000069,-0.004439,-0.010264,0.021963,1.224703,3.010264,1.246667,3.000000,0,0.273777
29407.725449,0.793301,-0.003645,-0.110412,-0.015729,0.715270,0.010395,0.000195,0.004025,-0.011428,0.034959,1.238375,3.011428,1.273333,3.000000,0,0.297555
