t,vx,vy,omega,delta,T,eps_vx,eps_vy,eps_omega,eC,eL,pos_x,pos_y,ref_x,ref_y,lap,theta
29023.051809,0.400000,0.020000,0.000000,-0.006536,0.510000,-0.032131,0.021030,0.027041,-0.016865,0.023490,2.989844,3.016865,3.013333,3.000000,0,0.529534
29023.083911,0.400000,0.020000,0.000000,-0.012190,0.520000,-0.185087,-0.007899,-0.222232,-0.017247,0.031889,2.994778,3.017247,3.026667,3.000000,0,0.530804
29023.089033,0.248575,-0.009890,-0.275456,-0.017811,0.530000,-0.058205,0.004281,0.134668,-0.018605,0.033219,2.996781,3.018605,3.030000,3.000000,0,0.530804
29023.121304,0.196218,-0.000019,-0.000760,-0.023088,0.540000,-0.050891,0.002194,0.058127,-0.018593,0.032469,2.997531,3.018593,3.030000,3.000000,0,0.530804
29023.129054,0.182526,-0.000003,-0.000138,-0.027220,0.550000,0.001850,0.000000,0.000016,-0.017952,0.029901,3.000099,3.017952,3.030000,3.000000,0,0.530804
29023.149073,0.193597,-0.000000,-0.000000,-0.030331,0.560000,0.000330,0.000283,0.007608,-0.017452,0.025642,3.004358,3.017452,3.030000,3.000000,0,0.532807
29023.169066,0.218194,-0.002372,-0.062097,-0.032613,0.570000,-0.002247,0.000544,0.014306,-0.017551,0.020940,3.009060,3.017551,3.030000,3.000000,0,0.537850
29023.189067,0.240767,-0.002677,-0.071128,-0.034559,0.580000,-0.003850,0.000810,0.021314,-0.016312,0.023033,3.013634,3.016312,3.036667,3.000000,0,0.543748
29023.222231,0.262258,-0.002911,-0.077568,-0.035629,0.590000,-0.012571,0.001144,0.030542,-0.015912,0.023025,3.020308,3.015912,3.043333,3.000000,0,0.550758
29023.229070,0.292529,-0.003232,-0.086450,-0.036074,0.600000,0.017103,0.000649,0.014816,-0.016168,0.022591,3.027409,3.016168,3.050000,3.000000,0,0.559451
29023.249068,0.318630,-0.003491,-0.093558,-0.036378,0.610000,0.008153,-0.000057,-0.001532,-0.015947,0.020677,3.035990,3.015947,3.056667,3.000000,0,0.569305
29023.269062,0.353600,-0.005042,-0.135053,-0.035982,0.620000,0.001195,-0.000033,-0.000944,-0.016184,0.022121,3.044545,3.016184,3.066667,3.000000,0,0.580065
