t,vx,vy,omega,delta,T,eps_vx,eps_vy,eps_omega,eC,eL,pos_x,pos_y,ref_x,ref_y,lap,theta
30896.922877,0.400000,0.020000,0.000000,-0.003413,0.510000,-0.089738,0.020647,0.017908,-0.008984,0.025062,1.484938,3.008984,1.510000,3.000000,0,0.524663
30897.012437,0.400000,0.020000,0.000000,-0.006261,0.520000,-0.347238,0.001195,0.033086,-0.008843,0.034195,1.489138,3.008843,1.523333,3.000000,0,0.526827
30897.099834,0.146328,-0.000000,-0.000000,-0.013733,0.530000,-0.001393,0.001031,0.027387,-0.008732,0.020045,1.506621,3.008732,1.526667,3.000000,0,0.531554
30897.187728,0.243441,-0.000339,-0.009003,-0.016249,0.537323,0.032902,0.001722,0.046239,-0.011053,-0.013096,1.543096,3.011053,1.530000,3.000000,0,0.556366
30897.275527,0.375781,-0.000511,-0.013829,-0.018580,0.542917,0.025738,0.000289,0.007456,-0.010554,-0.036939,1.590272,3.010554,1.553333,3.000000,0,0.603393
30897.362944,0.499777,-0.003134,-0.086856,-0.019274,0.548363,0.034039,0.000514,0.013496,-0.011287,-0.052069,1.655402,3.011287,1.603333,3.000000,0,0.665430
30897.422662,0.630343,-0.003783,-0.108557,-0.018921,0.552415,0.057027,-0.000355,-0.013525,-0.011285,-0.067602,1.730936,3.011285,1.663333,3.000000,0,0.741965
30897.509085,0.752022,-0.005083,-0.151922,-0.016825,0.553863,0.032384,-0.000799,-0.027221,-0.012326,-0.083362,1.823362,3.012326,1.740000,3.000000,0,0.832404
30897.595350,0.874509,-0.005547,-0.174468,-0.012974,0.551711,0.013899,-0.001872,-0.062634,-0.006875,-0.083633,1.913633,3.006875,1.830000,3.000000,0,0.929533
30897.681544,0.973968,-0.005767,-0.190659,-0.006039,0.549521,0.008986,-0.004094,-0.142172,-0.001083,-0.080325,2.006992,3.001083,1.926667,3.000000,0,1.027341
30897.768020,1.064506,-0.005962,-0.207741,0.002875,0.545238,0.029052,-0.002782,-0.103148,0.007113,-0.106221,2.132888,2.992887,2.026667,3.000000,0,1.140864
30897.856508,1.170923,-0.001880,-0.072517,0.014053,0.536572,0.026272,-0.003476,-0.135802,0.013264,-0.130557,2.270557,2.986736,2.140000,3.000000,0,1.274710
30897.917067,1.269711,0.000900,0.034192,0.023547,0.527305,0.051441,-0.006430,-0.249379,0.029713,-0.150366,2.423699,2.970287,2.273333,3.000000,0,1.414710
30898.005722,1.366407,0.000861,0.038227,0.034675,0.517354,0.023755,-0.009340,-0.427194,0.038597,-0.159652,2.572985,2.961403,2.413333,3.000000,0,1.554710
30898.093245,1.448647,0.000817,0.040256,0.041091,0.507354,0.019249,-0.009549,-0.506358,0.042978,-0.161673,2.715006,2.957022,2.553333,3.000000,0,1.694710
30898.180419,1.518873,0.001966,0.067155,0.041075,0.497354,0.024017,-0.010239,-0.546752,0.036695,-0.177187,2.870521,2.963305,2.693333,3.000000,0,1.834710
30898.266697,1.587783,0.000699,0.043794,0.031905,0.487354,0.032667,-0.007371,-0.426065,0.024119,-0.217331,3.050665,2.975881,2.833333,3.000000,0,1.974710
30898.353385,1.659540,0.000661,0.044383,0.010935,0.477354,0.015841,0.004891,0.316154,-0.000491,-0.254694,3.228028,3.000491,2.973333,3.000000,0,2.114710
30898.416457,1.709343,0.007405,0.482640,-0.019754,0.467354,0.029300,0.008107,0.428899,-0.041980,-0.316098,3.429432,3.041980,3.113333,3.000000,0,2.254710
30898.505355,1.759400,0.001585,0.182417,-0.059754,0.457354,0.015859,0.007928,0.621215,-0.082879,-0.359374,3.612708,3.082879,3.253333,3.000000,0,2.394710
30898.593425,1.795897,-0.004532,-0.303475,-0.099754,0.447354,0.019668,0.015096,1.233258,-0.119865,-0.380435,3.773768,3.119865,3.393333,3.000000,0,2.534710
30898.680599,1.825552,-0.003228,-0.321484,-0.139754,0.437354,0.033056,0.021280,1.812010,-0.148532,-0.414734,3.948068,3.148532,3.533333,3.000000,0,2.674710
30898.768347,1.854804,-0.002918,-0.325012,-0.179754,0.427354,0.053209,0.026185,2.338706,-0.159575,-0.483654,4.156988,3.159575,3.673333,3.000000,0,2.814710
30898.854909,1.887816,-0.002605,-0.328678,-0.219754,0.417354,0.025379,0.005348,0.439799,-0.138720,-0.537874,4.351207,3.138720,3.813333,3.000000,0,2.954710
30898.915971,1.874807,-0.027161,-2.659750,-0.259754,0.407354,0.006884,0.008908,0.247928,-0.070640,-0.582411,4.535744,3.070640,3.953333,3.000000,0,3.094710
30899.004481,1.844600,-0.018000,-3.293029,-0.299754,0.397354,0.023950,0.003301,0.282103,-0.078940,-0.575933,4.673598,2.961667,4.093034,2.991268,0,3.234710
30899.092983,1.798674,-0.019535,-3.694515,-0.300000,0.387354,0.031323,0.004855,0.294320,-0.152184,-0.524473,4.762243,2.845544,4.225505,2.946259,0,3.374710
30899.181611,1.761654,-0.020492,-3.732602,-0.300000,0.377895,0.029583,0.005413,0.309851,-0.191277,-0.459968,4.807491,2.693371,4.340320,2.866309,0,3.514710
30899.270144,1.724926,-0.026011,-3.720839,-0.298953,0.367895,0.002769,0.000265,-0.009142,-0.181974,-0.387886,4.784335,2.519051,4.428488,2.757678,0,3.654710
30899.358738,1.664709,-0.037314,-4.037661,-0.258953,0.357895,-0.010810,-0.003801,-0.371368,-0.135593,-0.294426,4.690005,2.379341,4.483107,2.628871,0,3.794710
30899.419941,1.611937,-0.043092,-4.066984,-0.188011,0.347895,-0.023015,-0.015860,-0.738849,-0.058938,-0.195848,4.558938,2.294152,4.500000,2.490000,0,3.934710
30899.507853,1.579397,-0.045616,-3.666827,-0.015462,0.337895,-0.010485,0.007598,-1.009955,0.085070,-0.096331,4.414930,2.253669,4.500000,2.350000,0,4.029588
30899.595761,1.573628,0.007423,-1.318438,0.074583,0.327895,0.005864,-0.005294,-0.868363,0.209327,-0.024012,4.290673,2.232655,4.500000,2.256667,0,4.069350
30899.684253,1.574680,0.015437,0.177282,0.114583,0.317895,0.009759,-0.009569,-0.579290,0.329516,-0.011064,4.170484,2.205603,4.500000,2.216667,0,4.102627
30899.780425,1.573103,0.019973,1.059632,0.154583,0.307895,-0.013302,-0.008889,-0.570004,0.368309,0.031135,4.131691,2.214468,4.500000,2.183333,0,4.121022
30899.873971,1.538354,0.029305,1.639759,0.194583,0.317895,-0.013538,-0.008471,-0.537361,0.345567,0.046634,4.154433,2.209967,4.500000,2.163333,0,4.121022
30899.964063,1.500638,0.039959,2.175335,0.234583,0.307895,0.003328,-0.018428,-1.010001,0.337174,0.044231,4.162826,2.207564,4.500000,2.163333,0,4.121022
30900.054156,1.471993,0.040700,2.161531,0.274583,0.297895,0.024123,-0.028676,-1.425857,0.363889,0.048126,4.136111,2.211460,4.500000,2.163333,0,4.121022
30900.116232,1.451082,0.041550,2.142125,0.314583,0.287895,-0.011922,-0.007571,-0.174668,0.374861,0.041640,4.125139,2.204974,4.500000,2.163333,0,4.121022
30900.206099,1.393547,0.072779,3.517481,0.354583,0.277895,-0.001569,-0.006824,-0.393140,0.380640,0.040566,4.119360,2.203899,4.500000,2.163333,0,4.121022
