vx,vy,omega,delta,T,eps_vx,eps_vy,eps_omega,pos_x,pos_y,theta
0.400000,0.020000,0.000000,-0.002857,0.510000,-0.005726,0.014559,-0.031153,1.492012,3.007685,0.518377
0.400000,0.020000,0.000000,-0.005308,0.520000,-0.145031,-0.000955,-0.025682,1.495493,3.006583,0.532039
0.276056,-0.001425,-0.036987,-0.007116,0.530000,-0.001545,0.000565,0.015884,1.500188,3.008446,0.534133
0.296735,-0.000304,-0.007498,-0.009170,0.540000,-0.137449,0.001160,0.030802,1.497553,3.008399,0.535122
0.182020,-0.000001,-0.000024,-0.011607,0.550000,-0.078811,0.000758,0.018100,1.494911,3.006607,0.536112
0.126960,-0.000000,-0.000001,-0.012646,0.560000,0.041015,0.000000,0.000000,1.501982,3.007788,0.536112
0.192551,0.000000,0.000000,-0.013014,0.570000,-0.015935,0.000787,0.022575,1.504215,3.008037,0.536112
0.201579,-0.000346,-0.007133,-0.014132,0.580000,-0.008203,0.000269,0.007115,1.507495,3.006269,0.536112
0.218854,-0.001034,-0.027336,-0.014156,0.590000,0.004097,0.000011,0.000643,1.513037,3.007994,0.536909
0.249018,-0.001396,-0.036677,-0.014731,0.600000,0.002984,-0.000014,-0.000331,1.518224,3.006627,0.540917
0.278545,-0.001654,-0.043990,-0.014139,0.610000,0.007731,-0.000047,-0.001378,1.526025,3.005734,0.548268
0.313352,-0.001786,-0.047883,-0.013294,0.620000,0.008733,-0.000054,-0.001634,1.534686,3.005654,0.556763
0.349602,-0.001867,-0.050396,-0.012367,0.630000,0.003270,-0.000030,-0.001016,1.542804,3.005732,0.567054
0.380835,-0.001886,-0.051251,-0.011352,0.640000,0.013831,-0.000081,-0.002579,1.554362,3.004991,0.577953
0.423051,-0.001917,-0.052588,-0.009685,0.649691,0.007274,-0.000300,-0.007998,1.565420,3.005966,0.589819
0.459198,-0.002022,-0.055478,-0.008487,0.659533,0.002270,-0.000079,-0.002897,1.575911,3.006383,0.603618
0.490643,-0.001712,-0.048557,-0.007514,0.669533,-0.002510,-0.000174,-0.004657,1.585522,3.006823,0.617209
0.517760,-0.001691,-0.047301,-0.006901,0.679533,0.017429,-0.000342,-0.009310,1.602923,3.005805,0.629835
0.565321,-0.001802,-0.050661,-0.005295,0.684841,0.008727,-0.000656,-0.017459,1.618126,3.004776,0.645056
0.604107,-0.001899,-0.053926,-0.003100,0.689776,-0.001217,-0.000360,-0.012214,1.630551,3.005056,0.663525
