vx,vy,omega,delta,T,eps_vx,eps_vy,eps_omega,pos_x,pos_y,theta
0.400000,0.020000,0.000000,-0.002002,0.510000,-0.018460,0.016987,-0.028499,1.483658,3.005750,0.511601
0.400000,0.020000,0.000000,-0.003699,0.520000,-0.164151,0.001402,0.037188,1.486482,3.005125,0.526469
0.281259,0.001202,0.032892,-0.005204,0.530000,-0.158407,0.000445,0.009327,1.485288,3.004996,0.528190
0.169847,-0.000189,-0.007010,-0.006577,0.540000,-0.050141,0.000407,0.009187,1.485622,3.004572,0.528190
0.168247,-0.000113,-0.003908,-0.007343,0.550000,-0.022985,0.000417,0.008987,1.487420,3.004492,0.528190
0.194885,-0.000150,-0.005124,-0.007723,0.560000,-0.025374,0.000076,0.002058,1.489263,3.004660,0.528190
0.220119,-0.000674,-0.017691,-0.008361,0.570000,-0.006433,0.000035,0.001063,1.493439,3.004210,0.528190
0.265312,-0.000867,-0.022806,-0.008683,0.580000,-0.018056,0.000062,0.001750,1.496687,3.004266,0.529686
0.299776,-0.001024,-0.027160,-0.008976,0.590000,-0.002915,0.000014,0.000448,1.502795,3.003471,0.533298
0.350305,-0.001224,-0.032690,-0.008817,0.600000,-0.003184,0.000006,0.000155,1.509956,3.004509,0.539922
0.401379,-0.001373,-0.037094,-0.009077,0.610000,-0.011993,0.000043,0.001338,1.516400,3.004510,0.549640
0.444475,-0.001536,-0.041668,-0.009564,0.620000,-0.019567,0.000075,0.002407,1.521516,3.004387,0.559716
0.480868,-0.001723,-0.046923,-0.009989,0.630000,0.002547,0.000007,0.000283,1.532455,3.004656,0.568666
0.540237,-0.001987,-0.054850,-0.010165,0.640000,-0.005447,0.000023,0.000780,1.542684,3.005109,0.579515
0.592369,-0.002192,-0.061445,-0.010598,0.650000,-0.008403,0.000043,0.001536,1.552809,3.006025,0.593224
0.642236,-0.002418,-0.068503,-0.011225,0.660000,-0.007433,0.000051,0.001868,1.564477,3.005850,0.606788
0.693918,-0.002694,-0.077279,-0.011948,0.670000,-0.012659,0.000075,0.002806,1.575015,3.005517,0.621118
0.741036,-0.002988,-0.086873,-0.012591,0.680000,-0.012274,0.000067,0.002637,1.586331,3.006201,0.635723
0.789299,-0.003290,-0.097302,-0.013311,0.690000,-0.007246,0.000058,0.002292,1.600145,3.005945,0.649814
0.843264,-0.003615,-0.109044,-0.013112,0.699988,-0.003871,-0.000005,-0.000022,1.616661,3.006081,0.665948
0.901264,-0.003782,-0.118020,-0.013375,0.708811,-0.008932,0.000080,0.002741,1.631957,3.007488,0.684289
0.954689,-0.003880,-0.124426,-0.014333,0.718811,-0.009831,0.000101,0.004247,1.647878,3.007779,0.703707
1.007852,-0.004186,-0.135735,-0.015228,0.728802,-0.009144,0.000079,0.003654,1.665900,3.009297,0.723414
1.064305,-0.004546,-0.151179,-0.016863,0.737354,-0.009653,0.000369,0.011772,1.684314,3.011990,0.743942
1.116499,-0.004767,-0.163681,-0.018722,0.745133,-0.006105,0.000906,0.025055,1.703495,3.008042,0.765494
1.174629,-0.004784,-0.173305,-0.019084,0.751780,-0.012483,0.000931,0.026898,1.721793,3.009119,0.787901
1.226565,-0.004855,-0.182471,-0.019612,0.757344,-0.008088,0.000678,0.023004,1.743846,3.009401,0.810644
1.282998,-0.005236,-0.198076,-0.020120,0.761220,-0.009293,0.000029,0.002719,1.764798,3.009784,0.834432
1.337916,-0.006033,-0.233323,-0.020699,0.764810,-0.007985,0.000063,0.003801,1.787359,3.009652,0.859178
1.394065,-0.006174,-0.256445,-0.020672,0.767704,-0.009926,-0.000029,0.001287,1.809743,3.011601,0.884318
1.447799,-0.006116,-0.273131,-0.021841,0.770317,-0.006739,0.000137,0.006632,1.835247,3.011946,0.910394
1.504445,-0.006064,-0.288334,-0.022812,0.771618,-0.009338,0.000075,0.005715,1.859467,3.012887,0.937673
1.557958,-0.006149,-0.308159,-0.023846,0.772360,-0.010990,0.000078,0.006658,1.883331,3.012718,0.965731
1.609241,-0.006165,-0.328858,-0.024860,0.773008,-0.006562,0.000084,0.005798,1.910732,3.015149,0.993230
1.664439,-0.006112,-0.351598,-0.025402,0.773054,-0.001642,0.000062,0.003009,1.943738,3.021045,1.022641
1.723715,-0.005863,-0.373882,-0.027567,0.771541,0.000121,0.000273,0.010600,1.978797,3.021884,1.055841
1.783843,-0.005685,-0.398991,-0.027268,0.768731,-0.049381,-0.000580,0.005006,1.967903,3.022391,1.092897
1.793384,-0.005835,-0.419278,-0.029695,0.772594,0.003501,0.000315,0.010249,2.009459,3.021710,1.112392
1.856048,-0.005378,-0.444694,-0.030717,0.772999,-0.000390,0.000124,0.005255,2.048011,3.021765,1.129943
1.913985,-0.005007,-0.475583,-0.030984,0.771388,-0.004956,-0.000037,0.002106,2.081947,3.022588,1.168071
1.966303,-0.004332,-0.501175,-0.030723,0.768505,-0.007517,-0.000149,-0.000124,2.113611,3.024783,1.207671
2.015017,-0.003394,-0.518046,-0.031019,0.764164,-0.007051,-0.000084,0.002684,2.146607,3.025424,1.244115
2.063012,-0.002417,-0.529310,-0.031438,0.758338,-0.006201,-0.000063,0.003242,2.180746,3.027068,1.280270
2.110499,-0.001538,-0.540863,-0.031824,0.750957,-0.006063,-0.000074,0.003055,2.215737,3.027843,1.316550
2.156644,-0.000679,-0.553197,-0.032160,0.740957,-0.007172,-0.000111,0.002936,2.249429,3.028330,1.353522
2.199834,0.000191,-0.565382,-0.032657,0.734764,-0.005255,-0.000058,0.003533,2.285907,3.028961,1.391052
2.243613,0.001125,-0.577908,-0.031741,0.724764,-0.006020,-0.000246,-0.003951,2.322237,3.029721,1.428901
2.284937,0.002242,-0.586860,-0.031558,0.714764,-0.006097,-0.000160,0.000198,2.358720,3.030198,1.467402
2.324449,0.003462,-0.587798,-0.031099,0.704764,-0.004832,-0.000187,-0.001995,2.397147,3.030795,1.506102
2.363506,0.004535,-0.587938,-0.029435,0.701407,-0.005499,-0.000327,-0.008456,2.435894,3.032123,1.545881
2.400856,0.005724,-0.581924,-0.031140,0.691407,-0.005085,0.000039,0.009767,2.474764,3.032838,1.586315
2.436961,0.006515,-0.575687,-0.030219,0.681407,-0.004659,-0.000220,-0.004270,2.514485,3.033332,1.627912
2.471855,0.007130,-0.579900,-0.028336,0.671407,-0.005920,-0.000250,-0.006046,2.552071,3.030957,1.669345
2.503889,0.008333,-0.569775,-0.023613,0.661407,-0.007403,-0.000727,-0.026329,2.586117,3.038393,1.710126
2.532972,0.009680,-0.544198,-0.022362,0.651407,-0.001446,-0.000179,-0.006864,2.632896,3.034998,1.748515
2.566403,0.010891,-0.499050,-0.016795,0.641407,-0.002509,-0.000502,-0.026850,2.678099,3.032782,1.789799
2.597278,0.011767,-0.444812,-0.009044,0.631407,-0.004451,-0.000882,-0.043183,2.718903,3.030876,1.837044
2.624721,0.012653,-0.362379,-0.001725,0.621407,-0.004008,-0.000795,-0.040601,2.760254,3.029948,1.882084
2.651145,0.013132,-0.247280,0.006460,0.611407,-0.002872,-0.000854,-0.046596,2.804360,3.034007,1.924582
2.677233,0.012589,-0.113901,0.013153,0.601407,-0.001649,-0.000742,-0.039512,2.851641,3.032064,1.968574
2.703008,0.010836,0.029014,0.021636,0.591407,-0.002907,-0.000773,-0.046461,2.895848,3.031736,2.015371
2.725955,0.008412,0.177799,0.030486,0.581407,-0.002753,-0.000878,-0.051442,2.940273,3.030973,2.063060
2.747438,0.005378,0.334093,0.035867,0.571407,-0.001233,-0.000509,-0.030869,2.989500,3.029742,2.108946
2.768861,0.001401,0.489701,0.038466,0.561407,-0.003514,-0.000168,-0.014798,3.031576,3.033053,2.156600
2.786461,-0.003809,0.615794,0.032967,0.551407,-0.001350,0.000508,0.029625,3.081000,3.032279,2.203658
2.804973,-0.010370,0.682104,0.023692,0.541407,-0.001819,0.000363,0.033531,3.130126,3.032338,2.250056
2.821748,-0.017725,0.636903,0.011541,0.531407,-0.001702,0.000503,0.046345,3.178469,3.034018,2.299666
2.837388,-0.022770,0.505884,-0.009363,0.521407,-0.002066,0.000831,0.081101,3.225672,3.036894,2.349266
2.851435,-0.026039,0.269427,-0.033600,0.511407,-0.001849,0.000923,0.094010,3.272988,3.039937,2.397766
2.864181,-0.026311,-0.078700,-0.051770,0.501407,-0.001747,0.000667,0.068915,3.320111,3.044203,2.446193
2.875354,-0.020846,-0.470279,-0.070434,0.491407,-0.001174,0.000563,0.063724,3.369849,3.047639,2.494186
2.885065,-0.011087,-0.855995,-0.087853,0.481407,-0.001591,0.000502,0.056732,3.417286,3.050582,2.542708
2.891966,0.001366,-1.214007,-0.101663,0.471407,-0.001136,0.000293,0.041639,3.467240,3.053179,2.591321
2.896827,0.015552,-1.525863,-0.115725,0.461407,-0.001652,0.000198,0.036836,3.515270,3.056226,2.640028
2.898375,0.030185,-1.791687,-0.130885,0.451407,-0.001718,0.000176,0.037513,3.562425,3.055611,2.689035
2.896808,0.044522,-2.021717,-0.145068,0.441407,-0.001993,-0.000024,0.028157,3.607337,3.057027,2.735663
2.891908,0.058392,-2.226514,-0.165825,0.431407,-0.001248,0.000100,0.035584,3.652398,3.060889,2.781167
2.884087,0.071698,-2.414460,-0.190261,0.421407,0.000157,0.000196,0.029833,3.702976,3.053801,2.825381
2.873683,0.084806,-2.598005,-0.214594,0.411407,0.000600,0.000164,0.020359,3.754947,3.047552,2.871055
2.859767,0.098539,-2.764416,-0.231585,0.401407,0.000921,0.000117,0.010287,3.808002,3.044557,2.920157
2.842851,0.113107,-2.896872,-0.246125,0.391407,-0.001575,-0.000406,0.005453,3.840494,3.032337,2.970511
2.820449,0.127016,-2.989835,-0.253750,0.381407,-0.001155,-0.000339,-0.000186,3.887092,3.017828,3.013274
2.796251,0.139719,-3.047856,-0.255798,0.371407,-0.003575,-0.000864,-0.005330,3.926689,3.000164,3.052709
2.768048,0.149730,-3.077482,-0.246572,0.365659,-0.004008,-0.000858,-0.007849,3.966947,2.980650,3.097909
2.739516,0.156998,-3.081482,-0.231136,0.363310,-0.003300,-0.000670,-0.009175,4.011424,2.960541,3.144811
