vx,vy,omega,delta,T,eps_vx,eps_vy,eps_omega,pos_x,pos_y,theta
0.400000,0.020000,0.000000,-0.001842,0.510000,-0.011279,0.013708,-0.033344,1.493437,3.005279,0.521315
0.400000,0.020000,0.000000,-0.003403,0.520000,0.004215,0.003053,0.070803,1.501417,3.005899,0.536275
0.449720,0.002899,0.067714,-0.005108,0.530000,-0.158542,0.000131,0.001241,1.502217,3.006003,0.543638
0.337454,-0.000580,-0.014450,-0.006648,0.540000,-0.135545,0.000367,0.010467,1.500704,3.005910,0.549017
0.249804,-0.000620,-0.015924,-0.007840,0.550000,-0.054226,0.000281,0.007612,1.501733,3.006068,0.549017
0.244885,-0.000645,-0.016970,-0.008507,0.560000,-0.017275,0.000257,0.006827,1.505584,3.006245,0.549017
0.278047,-0.000735,-0.019492,-0.009176,0.570000,-0.028704,0.000114,0.003349,1.508076,3.005506,0.549017
0.300699,-0.001068,-0.028129,-0.009449,0.580000,-0.020852,0.000074,0.002115,1.511554,3.004450,0.549017
0.332270,-0.001229,-0.032775,-0.009244,0.590000,-0.008188,0.000024,0.000661,1.517325,3.004995,0.551451
0.377228,-0.001361,-0.036619,-0.009053,0.600000,-0.003380,0.000007,0.000170,1.525000,3.004914,0.557457
0.428059,-0.001496,-0.040610,-0.008860,0.610000,-0.002068,0.000001,0.000012,1.533801,3.005013,0.566380
0.480894,-0.001623,-0.044544,-0.008625,0.620000,-0.013685,0.000031,0.000944,1.540731,3.004237,0.578065
0.523030,-0.001701,-0.047141,-0.007842,0.630000,-0.000752,-0.000023,-0.000843,1.551763,3.004109,0.589508
0.578869,-0.001711,-0.048429,-0.007113,0.640000,-0.009513,-0.000005,-0.000207,1.561583,3.003583,0.601587
0.626708,-0.001660,-0.047727,-0.006553,0.650000,-0.010350,-0.000002,-0.000068,1.571444,3.003482,0.615199
0.674456,-0.001614,-0.047043,-0.005565,0.660000,-0.023866,-0.000045,-0.001307,1.578790,3.004134,0.628705
0.709475,-0.001500,-0.044773,-0.004860,0.670000,0.000299,-0.000027,-0.000915,1.592651,3.004914,0.640142
0.769446,-0.001347,-0.041101,-0.004112,0.680000,-0.015054,-0.000055,-0.001732,1.604368,3.004310,0.653285
0.814657,-0.001228,-0.038490,-0.003014,0.690000,0.004809,-0.000263,-0.006928,1.622449,3.004308,0.669027
0.880564,-0.001184,-0.037264,-0.002213,0.695200,-0.006574,-0.000092,-0.003329,1.638036,3.003278,0.687551
0.935010,-0.000833,-0.029596,-0.001205,0.705200,-0.007634,-0.000251,-0.006580,1.654267,3.002764,0.708159
0.989171,-0.000694,-0.024376,0.000243,0.715200,-0.005944,-0.000146,-0.005374,1.672148,3.003143,0.727286
1.045490,-0.000198,-0.012114,0.001464,0.724410,-0.019355,-0.000330,-0.009549,1.686161,3.001795,0.747661
1.088912,0.000020,-0.003368,0.002929,0.733846,-0.007767,-0.000500,-0.015006,1.705178,3.001553,0.767478
1.144367,0.000276,0.004853,0.004326,0.742491,0.004133,-0.000123,-0.003278,1.729200,3.001095,0.787676
1.212443,0.001075,0.030391,0.005354,0.749185,-0.011811,-0.000082,-0.003309,1.747191,2.999255,0.812389
1.264407,0.001519,0.049252,0.007110,0.754891,-0.006105,-0.000103,-0.004393,1.769414,2.999943,0.837776
1.322138,0.002025,0.070111,0.007541,0.759717,-0.006935,-0.000112,-0.003483,1.792198,2.999120,0.861504
1.378928,0.002176,0.084716,0.007790,0.763846,-0.005657,-0.000181,-0.005464,1.817187,2.999133,0.887068
1.436825,0.002134,0.092390,0.007919,0.768011,-0.006775,-0.000210,-0.006466,1.842649,2.999110,0.914626
1.493380,0.002058,0.097234,0.007923,0.770475,-0.020798,-0.000189,-0.007410,1.861516,2.998622,0.943005
1.535544,0.001989,0.099964,0.007219,0.772564,-0.009725,-0.000015,-0.001283,1.886791,2.998386,0.969096
1.588542,0.001893,0.102851,0.007135,0.774146,0.000302,-0.000004,-0.000038,1.916741,2.996427,0.994611
1.650891,0.001777,0.106017,0.007539,0.775919,-0.005459,-0.000017,-0.001556,1.945629,2.996620,1.024703
1.706996,0.001738,0.110680,0.007068,0.775586,-0.006797,0.000053,0.001257,1.974111,2.997117,1.058035
1.760993,0.001550,0.113295,0.006142,0.774257,-0.006660,0.000081,0.002633,2.003494,2.997718,1.090609
1.814275,0.001162,0.109420,0.004958,0.772240,-0.007516,0.000109,0.003752,2.032747,2.997805,1.122493
1.865749,0.000697,0.099549,0.004114,0.771563,-0.009113,0.000082,0.002405,2.061001,2.997009,1.155480
1.914871,0.000312,0.086642,0.003570,0.771059,-0.005467,0.000052,0.001638,2.093738,2.997615,1.188043
1.966868,0.000079,0.075134,0.002096,0.768073,-0.006968,0.000110,0.004645,2.125473,2.997781,1.221453
2.016325,-0.000265,0.060405,0.000606,0.762678,-0.006153,0.000122,0.005383,2.158680,2.997854,1.256195
2.065296,-0.000634,0.041077,-0.000183,0.756775,-0.005644,0.000068,0.002883,2.192979,2.998535,1.291477
2.113419,-0.000806,0.021632,-0.002102,0.749697,-0.006998,0.000141,0.007107,2.226119,2.998208,1.328227
2.158706,-0.001038,-0.000646,-0.002952,0.739697,-0.006182,0.000057,0.003023,2.260689,2.998832,1.365247
2.203091,-0.001094,-0.024182,-0.004015,0.735893,-0.006256,0.000069,0.004063,2.296012,2.998179,1.402035
2.246286,-0.000985,-0.045054,-0.004375,0.725893,-0.005420,0.000019,0.001485,2.332610,2.998428,1.439433
2.288620,-0.000702,-0.062117,-0.005054,0.715893,-0.013646,0.000057,0.007147,2.361412,2.999229,1.477875
2.320974,-0.000379,-0.071478,-0.006630,0.705893,-0.004460,0.000186,0.010746,2.399136,2.999784,1.513186
2.360953,-0.000300,-0.086341,-0.006821,0.709755,-0.005820,0.000030,0.001700,2.437616,2.999695,1.548011
2.399286,-0.000123,-0.105670,-0.007104,0.699755,-0.004575,0.000100,0.004211,2.476856,2.999688,1.587605
2.437158,0.000404,-0.116667,-0.007217,0.689755,-0.004408,0.000111,0.004963,2.515145,2.999397,1.629446
2.473633,0.000920,-0.122825,-0.003402,0.679755,-0.002887,-0.000286,-0.015634,2.556333,2.999287,1.670736
2.509850,0.001889,-0.113623,-0.000511,0.669755,-0.004133,-0.000253,-0.013984,2.597550,2.998554,1.712278
2.543263,0.002924,-0.080412,0.004841,0.659755,-0.003497,-0.000424,-0.025511,2.640219,2.998516,1.755408
2.575631,0.003817,-0.024939,0.009785,0.649755,0.003899,-0.001435,-0.033708,2.693655,2.998078,1.799233
2.613788,0.003145,0.043448,0.017076,0.639755,0.002196,-0.002836,-0.104230,2.746358,2.998303,1.848576
2.648413,0.001552,0.075078,0.026775,0.629755,-0.018180,-0.003849,-0.146238,2.750913,2.991546,1.903110
2.660874,0.001240,0.133245,0.035013,0.619755,0.006394,-0.006891,-0.257498,2.809087,2.992166,1.936866
2.696427,-0.001527,0.125935,0.043967,0.609755,0.001631,-0.001109,-0.120138,2.861659,2.993021,1.969398
2.725225,0.004990,0.329700,0.052687,0.599755,-0.001452,-0.000282,-0.029475,2.910993,2.993407,2.022736
