vx,vy,omega,delta,T,eps_vx,eps_vy,eps_omega,pos_x,pos_y,theta
0.400000,0.020000,0.000000,-0.005954,0.510000,-0.011564,0.014271,-0.025233,1.495744,3.017380,0.525119
0.400000,0.020000,0.000000,-0.010991,0.520000,-0.075311,-0.476574,-1.994323,1.500227,3.006343,0.540164
0.370081,-0.477958,-2.029840,0.004121,0.530000,-0.238380,0.257418,1.007071,1.498105,3.008801,0.544264
0.194404,-0.039572,-1.186748,0.006979,0.540000,-0.042005,-0.000120,0.004583,1.498962,3.011975,0.546361
0.200740,-0.000887,-0.032809,0.005973,0.550000,-0.041169,-0.000082,-0.002083,1.498653,3.012609,0.546361
0.209074,0.000503,0.013228,0.004587,0.560000,-0.027210,-0.000040,-0.001009,1.500333,3.012417,0.546361
0.232363,0.000435,0.011567,0.003558,0.570000,-0.008994,-0.000001,0.000074,1.504380,3.012757,0.546361
0.274974,0.000400,0.010747,0.002695,0.580000,-0.001913,0.000103,0.002693,1.510227,3.013570,0.546361
0.325450,0.000452,0.012041,0.001703,0.590000,0.000970,0.000262,0.006899,1.517772,3.012890,0.549555
0.379767,0.000521,0.013981,0.001215,0.600000,-0.015368,0.000050,0.001880,1.523141,3.012583,0.557897
0.418551,0.000270,0.008112,0.000917,0.610000,-0.006372,0.000006,0.000241,1.530708,3.011395,0.567291
0.467213,0.000180,0.005148,0.001108,0.620000,-0.006767,-0.000015,-0.000495,1.539113,3.010915,0.576669
0.516301,0.000201,0.005470,0.001496,0.630000,0.003889,-0.000016,-0.000569,1.551229,3.012911,0.588001
0.576812,0.000292,0.007891,0.001018,0.640000,-0.016853,0.000018,0.000641,1.558585,3.010268,0.601464
0.617322,0.000259,0.007610,0.001773,0.650000,-0.007731,-0.000042,-0.001486,1.569213,3.009464,0.614606
0.667757,0.000368,0.010018,0.002360,0.660000,-0.009085,-0.000038,-0.001324,1.580306,3.009423,0.627077
0.717570,0.000532,0.014779,0.002831,0.670000,-0.007015,-0.000036,-0.001209,1.593017,3.010128,0.641157
0.770196,0.000687,0.019647,0.003237,0.680000,-0.002977,-0.000028,-0.000987,1.608179,3.012626,0.656136
0.827546,0.000838,0.024619,0.002900,0.690000,-0.012359,0.000017,0.000505,1.620493,3.009588,0.673253
0.876132,0.000851,0.026475,0.004357,0.700000,-0.002906,-0.000104,-0.003708,1.637575,3.008427,0.690819
0.934889,0.001113,0.033311,0.005644,0.710000,-0.009875,-0.000311,-0.008467,1.652708,3.007736,0.708879
0.987148,0.001297,0.040915,0.006504,0.720000,-0.009517,-0.000172,-0.006303,1.669093,3.008294,0.728285
1.040393,0.001711,0.052988,0.007320,0.730000,-0.000323,-0.000212,-0.005738,1.690972,3.009463,0.747307
1.103560,0.001972,0.065392,0.007212,0.740000,-0.016454,-0.000064,-0.002984,1.705262,3.003951,0.769704
1.150999,0.002149,0.074012,0.009388,0.750000,0.000638,-0.000161,-0.006031,1.729499,3.006157,0.791924
1.216119,0.002660,0.091734,0.009122,0.760000,-0.019414,0.000067,0.000644,1.743583,3.003165,0.815196
