vx,vy,omega,delta,T,eps_vx,eps_vy,eps_omega,pos_x,pos_y,theta
0.400000,0.020000,0.000000,-0.004866,0.510000,-0.012220,0.014576,-0.027057,1.486798,3.014014,0.514775
0.400000,0.020000,0.000000,-0.009006,0.520000,0.010748,0.012996,0.327373,1.494446,3.016520,0.529639
0.456146,0.011934,0.300350,-0.014458,0.530000,-0.191240,0.000548,0.004560,1.495078,3.016200,0.537033
0.311004,-0.001137,-0.025317,-0.019008,0.540000,-0.151201,0.001590,0.046093,1.491312,3.015899,0.542664
0.207779,-0.001045,-0.024001,-0.023002,0.550000,-0.050768,0.001229,0.036916,1.491549,3.016442,0.542664
0.206455,-0.001121,-0.025161,-0.025918,0.560000,-0.005360,0.000077,0.002351,1.495202,3.016390,0.542664
0.251603,-0.002566,-0.067445,-0.027327,0.570000,-0.030691,0.000325,0.009044,1.497619,3.017285,0.542664
0.272354,-0.002944,-0.077858,-0.029018,0.580000,-0.036060,0.000403,0.011293,1.499915,3.017432,0.542664
0.288751,-0.003300,-0.087417,-0.030907,0.590000,-0.003637,0.000273,0.007176,1.504236,3.016287,0.542664
0.338536,-0.003865,-0.103349,-0.031035,0.600000,0.004098,-0.000009,0.000052,1.513126,3.017663,0.544646
0.396944,-0.004725,-0.126857,-0.031263,0.610000,-0.012713,0.000140,0.004193,1.520702,3.017411,0.552164
0.439329,-0.005255,-0.142621,-0.031536,0.620000,0.007798,-0.000073,-0.002223,1.530734,3.017554,0.562949
0.503087,-0.005968,-0.164053,-0.030577,0.630000,0.001879,-0.000056,-0.001957,1.540641,3.017373,0.575469
0.561652,-0.006410,-0.179343,-0.028482,0.640000,-0.010837,0.000006,0.000069,1.550627,3.018159,0.589821
0.608257,-0.006447,-0.183599,-0.026921,0.650000,-0.008533,-0.000007,-0.000209,1.561623,3.017308,0.603042
0.657939,-0.006465,-0.186770,-0.025036,0.660000,-0.005715,-0.000333,-0.008197,1.573511,3.017059,0.616210
0.711194,-0.006681,-0.194965,-0.022640,0.670000,-0.003350,-0.000208,-0.007357,1.587160,3.017218,0.631355
0.767534,-0.006310,-0.191786,-0.019953,0.680000,0.001092,-0.000162,-0.005900,1.601652,3.016925,0.647683
0.828976,-0.005817,-0.181978,-0.015869,0.690000,-0.004071,-0.000236,-0.008208,1.616805,3.017128,0.665078
0.885875,-0.005012,-0.163845,-0.011914,0.700000,-0.009070,-0.000231,-0.007636,1.630742,3.014076,0.684091
0.938329,-0.004015,-0.137823,-0.006984,0.709667,-0.005712,-0.000332,-0.011582,1.648034,3.014170,0.702895
0.994812,-0.002767,-0.104272,-0.003452,0.718334,-0.009603,-0.000263,-0.008814,1.663824,3.015100,0.722040
1.047824,-0.001610,-0.068589,-0.000885,0.725992,-0.002506,-0.000188,-0.006760,1.683817,3.013932,0.742187
