vx,vy,omega,delta,T,eps_vx,eps_vy,eps_omega,pos_x,pos_y,theta
0.400000,0.020000,0.000000,-0.003681,0.510000,-0.012418,0.014579,-0.029418,1.484111,3.010485,0.512048
0.400000,0.020000,0.000000,-0.006795,0.520000,0.029646,0.372156,0.869639,1.491527,3.018029,0.527281
0.475158,0.371449,0.852003,-0.019934,0.530000,-0.207333,-0.126426,-0.199038,1.492212,3.018004,0.534858
0.317783,0.063204,0.803506,-0.028379,0.540000,-0.116080,-0.002146,-0.115619,1.491153,3.011879,0.540386
0.248529,-0.002776,-0.095231,-0.029902,0.550000,-0.070191,0.002876,0.076373,1.491080,3.012341,0.540386
0.227569,-0.000657,-0.017662,-0.031066,0.560000,-0.043509,0.002797,0.074235,1.491692,3.011450,0.540386
0.234513,-0.000608,-0.015716,-0.031485,0.570000,-0.018280,0.002812,0.074228,1.495118,3.011275,0.540386
0.267608,-0.000725,-0.019209,-0.031429,0.580000,-0.035039,0.003029,0.079185,1.496509,3.011183,0.540386
0.284888,-0.000878,-0.024193,-0.031162,0.590000,-0.002711,0.003168,0.083642,1.503287,3.010260,0.540386
0.335541,-0.000902,-0.024183,-0.030057,0.600000,-0.003657,0.003405,0.089899,1.511381,3.011878,0.542917
0.386155,-0.001025,-0.027625,-0.029488,0.610000,-0.008103,0.001058,0.036112,1.519197,3.012343,0.550635
0.433092,-0.003747,-0.091608,-0.028940,0.620000,-0.012423,0.000013,0.000596,1.525753,3.012874,0.561395
0.476560,-0.005253,-0.142259,-0.028102,0.630000,-0.005406,-0.000027,-0.001092,1.535075,3.012296,0.571314
0.527996,-0.005634,-0.156552,-0.026739,0.640000,-0.013965,0.000033,0.001044,1.542831,3.012401,0.582542
0.571662,-0.005751,-0.161857,-0.025307,0.650000,-0.002733,-0.000076,-0.002558,1.553950,3.011905,0.594931
0.627365,-0.005885,-0.168399,-0.023231,0.660000,-0.013910,-0.000341,-0.007977,1.562835,3.008629,0.607462
0.672698,-0.006059,-0.174659,-0.019813,0.670000,-0.007184,-0.001139,-0.029520,1.575300,3.008761,0.620506
0.725478,-0.006351,-0.185832,-0.016735,0.680000,-0.003579,-0.001962,-0.051775,1.589994,3.008085,0.634361
0.782507,-0.006721,-0.200514,-0.013297,0.690000,-0.003259,-0.002778,-0.073910,1.606465,3.008236,0.651107
0.840608,-0.006958,-0.212956,-0.009920,0.700000,-0.011859,-0.003643,-0.096243,1.621532,3.008671,0.670304
0.890765,-0.007169,-0.224129,-0.007135,0.710000,-0.010314,-0.004433,-0.117457,1.637942,3.008982,0.689733
0.942980,-0.007380,-0.235924,-0.004328,0.719295,-0.012333,-0.005222,-0.138849,1.654518,3.008335,0.708883
0.993882,-0.007534,-0.247132,-0.000897,0.727719,-0.011909,-0.002455,-0.082341,1.671754,3.007915,0.728751
1.045567,-0.003929,-0.175362,0.002013,0.735274,-0.006217,-0.000275,-0.008788,1.689175,3.006601,0.749013
1.103276,-0.000381,-0.056592,0.005346,0.741989,-0.007953,-0.000884,-0.023524,1.707825,3.005796,0.770083
