vx,vy,omega,delta,T,eps_vx,eps_vy,eps_omega,pos_x,pos_y,theta
0.400000,0.020000,0.000000,-0.003146,0.510000,-0.011539,0.013994,-0.030780,1.491272,3.008988,0.519985
0.400000,0.020000,0.000000,-0.005816,0.520000,-0.023362,0.000876,0.024331,1.498334,3.009428,0.535817
0.422084,0.000331,0.010940,-0.008059,0.530000,-0.183190,0.000646,0.016070,1.498413,3.009217,0.542015
0.285305,-0.000693,-0.018862,-0.010000,0.540000,-0.092909,0.000360,0.009999,1.498417,3.009939,0.545733
0.240514,-0.000943,-0.024691,-0.011796,0.550000,-0.051169,0.000394,0.010531,1.499119,3.010261,0.545733
0.238676,-0.000959,-0.025373,-0.013220,0.560000,-0.013526,0.000409,0.010790,1.503237,3.010533,0.545733
0.275598,-0.001101,-0.029266,-0.014269,0.570000,-0.025872,0.000627,0.016621,1.506357,3.010090,0.545733
0.301088,-0.001199,-0.031955,-0.015009,0.580000,-0.018691,0.000723,0.019015,1.510694,3.009938,0.546699
0.334734,-0.001336,-0.035888,-0.015452,0.590000,-0.017093,0.000176,0.005766,1.515532,3.009867,0.550701
0.370884,-0.002126,-0.055824,-0.015777,0.600000,-0.004899,0.000033,0.001010,1.522974,3.010503,0.557163
0.420121,-0.002539,-0.068517,-0.016247,0.610000,-0.001832,0.000087,0.002317,1.531989,3.010304,0.565654
0.473309,-0.002839,-0.077634,-0.016407,0.620000,-0.009071,0.000156,0.004312,1.539986,3.010512,0.576828
0.520055,-0.003082,-0.085156,-0.016031,0.630000,-0.011403,0.000063,0.002066,1.548689,3.010151,0.589160
0.565243,-0.003339,-0.093086,-0.015534,0.640000,-0.007099,-0.000070,-0.001605,1.559156,3.010540,0.601156
0.615577,-0.003586,-0.101410,-0.015135,0.650000,-0.013167,-0.000138,-0.003138,1.569021,3.009835,0.613481
0.660553,-0.003788,-0.108567,-0.014516,0.660000,-0.012585,-0.000286,-0.007010,1.579876,3.009499,0.626651
0.706948,-0.003978,-0.115690,-0.013684,0.670000,-0.007823,-0.000089,-0.003087,1.592343,3.009433,0.640474
0.758847,-0.003757,-0.113589,-0.012480,0.680000,-0.006886,-0.000263,-0.006585,1.606090,3.010118,0.655691
0.812347,-0.003751,-0.114221,-0.011590,0.690000,-0.007162,-0.000114,-0.003802,1.620260,3.010617,0.671971
0.866248,-0.003492,-0.110779,-0.010497,0.700000,-0.007480,-0.000251,-0.006217,1.635123,3.009822,0.689304
0.920367,-0.003406,-0.109162,-0.008684,0.710000,-0.007000,-0.000222,-0.007453,1.651680,3.010146,0.707264
0.975819,-0.002967,-0.101509,-0.007323,0.720000,-0.006878,-0.000335,-0.008543,1.669046,3.010010,0.726477
1.031893,-0.002701,-0.093691,-0.006099,0.730000,-0.010108,-0.000647,-0.016788,1.685701,3.009067,0.747465
1.085262,-0.002672,-0.093371,-0.003735,0.740000,-0.013304,-0.001259,-0.033256,1.702393,3.007742,0.767980
1.136044,-0.002663,-0.095103,-0.001179,0.750000,-0.010047,-0.001960,-0.052934,1.722585,3.006233,0.787778
1.190823,-0.002673,-0.098547,0.001134,0.760000,-0.008254,-0.000593,-0.022824,1.743090,3.005806,0.809396
1.247526,-0.000668,-0.054468,0.003334,0.770000,-0.005912,-0.000596,-0.016240,1.765395,3.006074,0.833376
1.307218,0.000286,-0.012718,0.005211,0.779563,-0.009396,-0.001098,-0.030443,1.787197,3.005394,0.858996
1.363799,0.000418,0.004639,0.006694,0.788423,-0.009488,-0.001469,-0.041085,1.810329,3.003543,0.885164
1.420582,0.000435,0.012801,0.009059,0.796290,-0.011354,-0.002117,-0.060029,1.833741,3.001970,0.911481
1.475797,0.000405,0.016242,0.011391,0.803406,-0.001833,-0.000625,-0.027166,1.863894,3.000978,0.937670
1.540505,0.002501,0.069469,0.012840,0.808539,-0.000497,-0.000391,-0.011297,1.895344,3.000026,0.967729
1.606282,0.003375,0.125064,0.013432,0.811894,-0.045547,-0.000478,-0.018598,1.890409,2.997654,1.002897
1.626611,0.003267,0.151001,0.015104,0.819214,0.000406,-0.001004,-0.029211,1.925435,2.996394,1.021629
1.693214,0.002941,0.165996,0.016613,0.823594,-0.004274,-0.001401,-0.042334,1.957784,2.996272,1.039138
1.754982,0.002600,0.174444,0.016087,0.826032,-0.004666,-0.000235,-0.013058,1.989564,2.996275,1.073980
1.815663,0.003292,0.205554,0.013642,0.826804,-0.006557,0.000681,0.019239,2.020322,2.995726,1.110116
1.873737,0.003301,0.236900,0.012387,0.826405,-0.006725,0.000284,0.011491,2.051156,2.995760,1.145200
1.930800,0.002041,0.236904,0.009878,0.824792,-0.006073,0.000691,0.019510,2.082993,2.996666,1.179950
1.987532,0.001134,0.224440,0.005286,0.821944,-0.007847,0.001859,0.055882,2.113948,2.996182,1.214949
2.041371,0.000712,0.216845,0.002234,0.818351,-0.006629,0.002541,0.078087,2.146229,2.996141,1.249198
2.095220,0.000348,0.210655,-0.001445,0.812950,-0.006172,0.003493,0.109991,2.179293,2.996575,1.284191
2.148154,0.000109,0.209273,-0.004915,0.807102,-0.005191,0.004478,0.144647,2.213116,2.997065,1.320443
2.200615,-0.000049,0.214810,-0.009432,0.799026,-0.005946,0.005516,0.181498,2.245780,2.996073,1.357069
2.250617,-0.000488,0.217275,-0.011861,0.789026,-0.002759,0.005815,0.191534,2.282144,2.998169,1.393431
2.301926,-0.001179,0.208298,-0.014998,0.779026,-0.002274,0.006665,0.223289,2.318245,3.000538,1.430698
2.351820,-0.001393,0.208099,-0.018160,0.769026,-0.000102,0.007427,0.253479,2.356465,3.001547,1.470077
2.401967,-0.001643,0.211683,-0.021377,0.759026,-0.000541,0.007824,0.267893,2.393370,3.001605,1.510606
2.449659,-0.002346,0.201368,-0.022636,0.749026,-0.003613,0.001482,0.113443,2.431068,3.001804,1.551124
2.492507,-0.009210,0.029155,-0.019896,0.739026,-0.004808,-0.000615,-0.022610,2.471077,3.002536,1.590997
2.532485,-0.010017,-0.193710,-0.015482,0.729026,-0.004007,-0.001670,-0.060257,2.511017,3.002184,1.632015
2.571617,-0.005433,-0.323326,-0.007431,0.719026,-0.004390,-0.000905,-0.063250,2.551439,3.002407,1.673945
2.608659,0.002360,-0.324804,0.000095,0.709026,-0.004528,-0.001776,-0.062953,2.592881,3.003208,1.716463
2.643871,0.006979,-0.247964,0.008609,0.699026,-0.004080,-0.003642,-0.132692,2.633323,3.003072,1.759818
2.677799,0.007522,-0.191666,0.019032,0.689026,-0.001544,-0.006036,-0.225038,2.676860,3.003484,1.802797
2.712440,0.006532,-0.160061,0.030058,0.679026,-0.000672,-0.008508,-0.323512,2.719868,3.003137,1.846511
2.746161,0.005388,-0.146167,0.042580,0.669026,0.001239,-0.010827,-0.418984,2.764368,3.002272,1.891240
2.779689,0.004974,-0.130719,0.055211,0.659026,0.002588,-0.013316,-0.511239,2.809175,3.002293,1.936947
2.812377,0.004546,-0.112304,0.064054,0.649026,-0.002655,-0.001926,-0.227050,2.849388,3.000758,1.983709
2.837742,0.016989,0.251243,0.061188,0.639026,-0.002433,0.000582,0.021858,2.897175,3.004351,2.028285
2.862253,0.014869,0.725553,0.045953,0.629026,-0.002221,0.003667,0.142600,2.944153,3.009115,2.073393
2.886155,0.000346,1.009205,0.025227,0.619026,-0.001649,0.007682,0.302212,2.991996,3.012979,2.121472
2.909427,-0.015682,1.143014,0.001337,0.609026,-0.001243,0.012686,0.507541,3.038819,3.018877,2.169512
2.931421,-0.028217,1.200746,-0.026745,0.599026,-0.003470,0.001865,0.284803,3.082045,3.024240,2.217840
2.949203,-0.053677,0.753605,-0.048265,0.589026,-0.000757,0.004621,0.185368,3.131837,3.032644,2.264443
2.968173,-0.054777,0.150692,-0.071572,0.579026,-0.000060,0.009175,0.371447,3.179394,3.037771,2.311520
2.986106,-0.037009,-0.235786,-0.088406,0.569026,0.003142,0.012160,0.503363,3.229806,3.045195,2.360840
3.004921,-0.016550,-0.440683,-0.107728,0.559026,0.000755,0.001813,0.249543,3.279069,3.051971,2.410867
3.018256,-0.013455,-0.908606,-0.121092,0.549026,-0.001203,0.001867,0.079716,3.326668,3.055963,2.461677
3.027299,0.000776,-1.453129,-0.129523,0.539026,0.000120,0.002859,0.124395,3.373211,3.062472,2.511023
3.035179,0.025595,-1.780921,-0.140791,0.529026,0.003273,0.003938,0.167164,3.424718,3.064800,2.558702
3.042887,0.050327,-1.960568,-0.150843,0.519026,0.004002,0.004552,0.199176,3.471335,3.068869,2.607460
3.048033,0.071182,-2.043441,-0.162779,0.509026,0.002359,0.000578,0.095712,3.524797,3.064633,2.656107
3.048349,0.082380,-2.202866,-0.165864,0.499026,-0.002114,-0.000319,0.003600,3.573200,3.056927,2.705504
3.042079,0.094635,-2.400221,-0.165005,0.489026,-0.000918,-0.000316,-0.002820,3.624079,3.051304,2.755608
3.035157,0.110424,-2.530889,-0.162791,0.479026,-0.000082,-0.000433,-0.008866,3.674807,3.042350,2.804135
3.027274,0.126396,-2.604765,-0.160142,0.469026,0.001067,-0.000534,-0.015837,3.725384,3.031993,2.852741
3.018901,0.140564,-2.637734,-0.168147,0.459026,0.002870,0.000010,0.005068,3.773135,3.017969,2.902412
3.009977,0.151917,-2.642556,-0.184763,0.449026,0.003535,0.000538,0.034593,3.814515,3.005332,2.952078
2.998880,0.159763,-2.632771,-0.194507,0.439365,0.005430,0.000935,0.046333,3.857967,2.987844,2.998287
2.987788,0.164576,-2.614513,-0.200336,0.433276,0.007427,0.001320,0.051442,3.905335,2.970549,3.045063
2.977658,0.166912,-2.592659,-0.205066,0.428686,0.008042,0.001401,0.057986,3.945321,2.946440,3.098610
2.967501,0.166994,-2.567952,-0.205805,0.425738,0.009282,0.001604,0.058804,3.992630,2.915493,3.156653
2.958546,0.165452,-2.545444,-0.205315,0.421631,0.007938,0.001261,0.058466,4.022606,2.895459,3.220883
2.948224,0.162322,-2.527446,-0.198923,0.421106,0.003165,0.000132,0.023539,4.060168,2.864150,3.285621
2.934051,0.157516,-2.543376,-0.188831,0.420434,-0.002980,-0.000584,-0.009584,4.091439,2.831969,3.349116
2.914982,0.153299,-2.581415,-0.172076,0.418333,-0.002802,-0.000587,-0.017392,4.125586,2.796504,3.417790
2.897773,0.151341,-2.594064,-0.152333,0.416174,-0.003792,-0.001632,-0.049465,4.156590,2.759761,3.489968
2.881480,0.149522,-2.588368,-0.129970,0.414426,-0.005250,-0.003495,-0.124511,4.184284,2.721862,3.565209
2.865952,0.146892,-2.585360,-0.106570,0.414054,-0.003443,-0.000987,-0.090885,4.211987,2.683133,3.640152
2.854637,0.148894,-2.449054,-0.087928,0.415549,-0.002654,-0.002587,-0.095337,4.234636,2.641610,3.711988
2.846368,0.144712,-2.245105,-0.074529,0.417039,-0.002101,-0.000670,-0.069518,4.253933,2.597893,3.777735
2.840836,0.136733,-1.981254,-0.064676,0.418316,-0.000570,0.002139,-0.107893,4.273913,2.558251,3.835644
2.838866,0.124925,-1.758915,-0.060077,0.419248,-0.002481,-0.006658,-0.062731,4.290564,2.511095,3.883818
2.836411,0.100759,-1.526283,-0.061467,0.418688,-0.000840,-0.000334,-0.033822,4.317967,2.469511,3.929060
2.836742,0.083719,-1.364028,-0.071363,0.416320,0.000093,0.001720,0.069583,4.333287,2.424977,3.974657
2.837890,0.068776,-1.239332,-0.080055,0.412073,0.001170,0.003262,0.128483,4.351809,2.380953,4.018800
2.839659,0.056580,-1.178025,-0.088224,0.406866,0.001964,0.004579,0.177919,4.367744,2.338396,4.063480
2.841487,0.048086,-1.162539,-0.096046,0.400585,0.003004,0.005881,0.228011,4.382164,2.296561,4.107596
2.843364,0.043168,-1.167626,-0.101987,0.392768,0.001377,0.001043,0.111497,4.400292,2.256571,4.150963
2.842474,0.034988,-1.333525,-0.106101,0.383935,0.000456,0.000604,0.024037,4.417243,2.213137,4.192996
2.839592,0.034482,-1.572019,-0.108051,0.374336,0.001475,0.000917,0.035568,4.434952,2.171043,4.234974
2.836488,0.041324,-1.731439,-0.109639,0.364336,0.002572,0.001151,0.044327,4.451130,2.128594,4.277335
2.833002,0.049876,-1.825956,-0.108013,0.354336,0.003505,0.000952,0.035887,4.464605,2.086391,4.320381
2.829203,0.057560,-1.873432,-0.103870,0.344336,0.001864,0.000089,0.004395,4.479620,2.035939,4.363906
2.822768,0.063083,-1.899756,-0.097655,0.334336,-0.000874,-0.000270,-0.016121,4.487708,1.997237,4.410547
2.812938,0.067434,-1.891182,-0.088256,0.324336,0.000104,-0.001443,-0.055653,4.510942,1.950003,4.455613
2.803791,0.069562,-1.857175,-0.081892,0.314336,-0.000662,-0.002634,-0.097018,4.516368,1.917199,4.498828
2.793467,0.069125,-1.828380,-0.078563,0.304336,0.000884,-0.003172,-0.121564,4.524848,1.875143,4.539460
2.784156,0.067486,-1.808980,-0.071083,0.294336,0.001482,-0.004566,-0.176869,4.530017,1.831994,4.577772
2.775173,0.065452,-1.798532,-0.061855,0.284336,0.000535,-0.001211,-0.112019,4.532546,1.789748,4.619835
2.765029,0.068669,-1.659064,-0.053583,0.274336,-0.000208,-0.001697,-0.062623,4.530959,1.745764,4.661830
2.753859,0.066729,-1.446987,-0.046279,0.264336,0.000432,-0.003019,-0.114290,4.543318,1.704535,4.703907
2.743226,0.058809,-1.301146,-0.048977,0.256377,0.000235,-0.000559,-0.045700,4.547796,1.665285,4.746354
2.732032,0.051766,-1.167330,-0.050091,0.249246,-0.000522,0.000016,0.004313,4.553084,1.626469,4.786685
2.719814,0.044254,-1.048597,-0.057571,0.244510,0.000100,0.001505,0.058543,4.552451,1.584067,4.824883
2.707853,0.036739,-0.987399,-0.064985,0.239921,0.000660,0.002675,0.101611,4.555099,1.544856,4.864438
2.696024,0.030702,-0.973271,-0.073717,0.235484,0.000202,0.000820,0.074859,4.555987,1.507989,4.904370
2.683145,0.023471,-1.064913,-0.084042,0.231659,0.000087,0.001787,0.067638,4.558137,1.469744,4.942066
2.669494,0.020958,-1.215015,-0.094719,0.227963,0.000614,0.000966,0.071303,4.562699,1.424252,4.978920
2.655547,0.020421,-1.381440,-0.109781,0.225331,-0.000485,0.002356,0.090244,4.556625,1.402092,5.019135
2.639341,0.022793,-1.563115,-0.119371,0.222585,0.000106,0.000835,0.067194,4.556836,1.366430,5.052419
2.622853,0.025080,-1.752176,-0.129523,0.220260,0.003652,-0.000300,0.073654,4.564629,1.333762,5.080818
2.608979,0.027919,-1.917938,-0.139373,0.218684,-0.004337,0.001598,-0.003479,4.559324,1.294249,5.113373
2.586123,0.033783,-2.147941,-0.146703,0.216705,-0.000261,0.000878,0.033705,4.558424,1.261090,5.147309
2.566538,0.040511,-2.285327,-0.153586,0.215209,0.000051,0.000630,0.039659,4.554940,1.227035,5.181761
2.546409,0.046081,-2.387946,-0.160264,0.213801,-0.000902,0.000020,0.011269,4.550024,1.198342,5.214276
2.524607,0.049767,-2.501184,-0.167145,0.213025,-0.000298,0.000620,0.025698,4.545735,1.167131,5.243822
2.502801,0.053842,-2.582985,-0.172080,0.212537,0.000265,0.001126,0.042385,4.536982,1.134932,5.271826
2.481162,0.057417,-2.631249,-0.176523,0.211817,-0.000193,0.000318,0.027135,4.529701,1.105867,5.301464
2.458751,0.058476,-2.685760,-0.181768,0.211252,-0.000376,0.000369,0.017392,4.521243,1.077892,5.330800
2.435915,0.058884,-2.746350,-0.185411,0.211114,-0.000023,0.000744,0.028937,4.515956,1.049344,5.359608
2.413438,0.059496,-2.785871,-0.188750,0.211740,0.000249,0.001020,0.037824,4.505026,1.022266,5.388469
2.391302,0.059552,-2.810916,-0.192488,0.212258,0.000476,0.001356,0.048868,4.496021,0.997040,5.417369
2.369486,0.058860,-2.824857,-0.194432,0.213449,0.000669,0.001601,0.056300,4.482845,0.971872,5.445637
2.348241,0.057440,-2.830218,-0.197772,0.214146,-0.000117,0.000331,0.026542,4.468533,0.948077,5.474151
2.326459,0.053700,-2.871605,-0.200170,0.214883,-0.000672,-0.000018,0.004788,4.456032,0.924561,5.504077
2.304543,0.050435,-2.934120,-0.200875,0.216195,-0.000814,-0.000094,0.001676,4.442883,0.902637,5.534137
2.283081,0.048449,-2.988031,-0.200270,0.217990,-0.000821,-0.000137,-0.000374,4.425112,0.882712,5.563615
2.262280,0.047199,-3.027941,-0.199687,0.219235,-0.000825,-0.000135,-0.000152,4.406877,0.864547,5.593520
2.242119,0.046109,-3.053362,-0.199152,0.220144,-0.000718,-0.000124,-0.000002,4.389140,0.847221,5.624419
2.222573,0.044759,-3.067783,-0.199573,0.220718,-0.000688,-0.000072,0.001782,4.369891,0.829253,5.655827
2.203540,0.042936,-3.075666,-0.199419,0.221154,-0.000809,-0.000115,0.001166,4.356136,0.812369,5.687802
2.184934,0.040638,-3.080138,-0.198469,0.222499,-0.000781,-0.000143,-0.000874,4.335818,0.796978,5.718946
2.167042,0.038085,-3.081758,-0.198987,0.222584,-0.000726,-0.000088,0.001860,4.318057,0.783352,5.749567
2.149662,0.035293,-3.081799,-0.199560,0.222845,-0.000671,-0.000073,0.001999,4.298468,0.769774,5.780975
2.132812,0.032319,-3.084024,-0.200465,0.222671,-0.000588,-0.000043,0.002804,4.275428,0.758154,5.812768
2.116447,0.029318,-3.088795,-0.203607,0.221426,-0.000470,0.000066,0.007472,4.255694,0.746684,5.845933
2.100282,0.026239,-3.099389,-0.207365,0.220566,-0.000351,0.000306,0.013343,4.238460,0.736231,5.879603
2.084263,0.023333,-3.115304,-0.209522,0.221028,-0.000442,0.000096,0.009643,4.217110,0.727356,5.911518
2.068498,0.020411,-3.138914,-0.213314,0.221088,-0.000581,0.000021,0.006163,4.195083,0.718957,5.943049
2.052736,0.017622,-3.173279,-0.218416,0.221140,-0.000340,0.000439,0.017350,4.178148,0.711700,5.975743
2.037169,0.015490,-3.204565,-0.222298,0.223015,-0.000027,0.000887,0.029704,4.155401,0.704705,6.006933
2.022178,0.013862,-3.226859,-0.229590,0.224324,-0.000062,0.000405,0.021978,4.129245,0.697012,6.037831
2.007005,0.011099,-3.271614,-0.237639,0.225311,0.000021,0.000690,0.023497,4.105824,0.691888,6.072541
1.991690,0.008823,-3.327069,-0.245648,0.227255,0.000546,0.001445,0.045484,4.083738,0.687746,6.108626
1.976777,0.007538,-3.367282,-0.254797,0.229302,0.001213,0.002249,0.068515,4.060907,0.685245,6.143071
1.962237,0.006533,-3.394536,-0.263521,0.231184,0.001814,0.002946,0.088511,4.038595,0.684823,6.176566
1.947995,0.005421,-3.412162,-0.269754,0.233816,0.000628,0.001038,0.046772,4.014700,0.687604,6.209761
1.932610,0.001686,-3.478383,-0.274087,0.237309,-0.000596,0.000002,0.004812,3.990562,0.691975,6.244465
1.916512,-0.001780,-3.583317,-0.277845,0.241272,-0.000546,0.000191,0.008599,3.966512,0.696177,6.281104
1.901063,-0.003161,-3.668996,-0.281104,0.245027,-0.000544,0.000413,0.015427,3.943639,0.701766,6.318075
1.886052,-0.003557,-3.731284,-0.283164,0.249337,-0.000780,0.000563,0.019955,3.921203,0.708255,6.354958
1.871387,-0.003768,-3.773618,-0.284270,0.253786,-0.000663,0.000164,0.011087,3.901437,0.712281,6.391332
1.857483,-0.004719,-3.812434,-0.285506,0.258686,-0.000609,-0.000062,0.001837,3.880025,0.721757,6.424829
1.844362,-0.005980,-3.851265,-0.284063,0.264164,-0.000978,-0.000152,-0.000970,3.858302,0.732089,6.457804
1.831925,-0.007043,-3.879114,-0.282561,0.270124,-0.001766,-0.000311,-0.004237,3.838601,0.744510,6.493272
1.819792,-0.008195,-3.898407,-0.279878,0.276496,-0.002536,-0.000526,-0.009871,3.817021,0.754973,6.528830
1.808133,-0.009490,-3.910870,-0.277616,0.283661,-0.001637,-0.000270,-0.004799,3.797370,0.767231,6.563378
1.798673,-0.010506,-3.908412,-0.275429,0.291280,-0.000857,-0.000134,-0.000732,3.781112,0.781518,6.596996
1.791266,-0.011561,-3.895894,-0.271029,0.299392,-0.001611,-0.000497,-0.009962,3.762883,0.796223,6.630003
1.784611,-0.012918,-3.883827,-0.265827,0.307964,-0.001504,-0.000356,-0.008522,3.746333,0.810461,6.662745
1.779709,-0.013751,-3.859048,-0.260316,0.317279,-0.001972,-0.000699,-0.015041,3.730941,0.826819,6.694805
1.776011,-0.014759,-3.830649,-0.253857,0.327077,-0.001709,-0.000487,-0.013544,3.714456,0.844600,6.725556
1.774386,-0.015109,-3.788187,-0.245682,0.336345,-0.002249,-0.001110,-0.026475,3.702012,0.867298,6.756345
1.774039,-0.015722,-3.742171,-0.236037,0.345155,-0.004016,-0.002453,-0.063187,3.686495,0.885734,6.789227
1.773830,-0.016870,-3.710659,-0.225152,0.353547,-0.006163,-0.004219,-0.112278,3.674144,0.905813,6.821597
1.773524,-0.018145,-3.693075,-0.212092,0.362078,-0.008063,-0.006259,-0.168901,3.661480,0.926225,6.851390
1.773578,-0.018977,-3.677370,-0.197903,0.370539,-0.004983,-0.002685,-0.101807,3.650637,0.947667,6.878171
1.779002,-0.013456,-3.525472,-0.184160,0.378527,-0.001454,-0.000864,-0.031767,3.638023,0.971090,6.903224
1.789381,-0.008419,-3.276397,-0.171137,0.385400,-0.003191,-0.002745,-0.071844,3.631902,0.991215,6.929025
1.799146,-0.008828,-3.082183,-0.160763,0.391324,-0.003882,-0.004697,-0.131997,3.618481,1.015024,6.953215
1.809430,-0.011493,-2.964705,-0.149356,0.395900,-0.005203,-0.007132,-0.204744,3.605984,1.040326,6.977537
1.819716,-0.014021,-2.901736,-0.135501,0.399526,-0.003325,-0.002418,-0.107708,3.598024,1.065421,7.004008
1.833230,-0.007735,-2.681138,-0.122554,0.402355,-0.001258,-0.000825,-0.034451,3.590944,1.092010,7.031129
1.849247,-0.003112,-2.387902,-0.108938,0.404093,-0.001895,-0.003289,-0.095025,3.583475,1.116167,7.058902
1.864988,-0.004082,-2.185030,-0.095452,0.404621,-0.002609,-0.006488,-0.193854,3.574189,1.143065,7.086565
1.880594,-0.006726,-2.077602,-0.080989,0.403874,-0.003209,-0.010177,-0.307956,3.566498,1.170724,7.114132
1.896029,-0.008794,-2.031078,-0.064197,0.402579,-0.002106,-0.003655,-0.178270,3.561815,1.197358,7.142917
1.912887,0.001139,-1.750316,-0.047715,0.401098,-0.000797,-0.001045,-0.051187,3.554656,1.226043,7.171538
1.930725,0.008489,-1.331725,-0.032742,0.399430,-0.001039,-0.003905,-0.118747,3.548067,1.252512,7.200074
1.948009,0.007029,-1.050154,-0.019559,0.399154,-0.000726,-0.007324,-0.226867,3.541453,1.282690,7.228676
