vx,vy,omega,delta,T,eps_vx,eps_vy,eps_omega,pos_x,pos_y,theta
0.400000,0.020000,0.000000,0.002656,0.520000,-0.008403,0.729471,4.235977,1.028592,3.024701,0.066391
0.437222,0.730299,4.258821,-0.030996,0.530000,-0.262687,-0.386814,-2.121375,1.029432,3.019721,0.073267
0.273408,0.141091,2.310879,-0.045922,0.540000,0.009210,-0.043085,-1.225713,1.033736,3.014403,0.077547
0.331029,0.000739,0.046562,-0.045362,0.550000,-0.079379,0.006396,0.166724,1.034130,3.013705,0.077547
0.300244,-0.000056,-0.002759,-0.044363,0.560000,-0.026685,0.005899,0.154297,1.038322,3.011961,0.077547
0.323372,-0.000048,-0.002802,-0.041571,0.570000,-0.033671,0.005791,0.151082,1.041738,3.011371,0.078794
0.340570,-0.000099,-0.004527,-0.039071,0.580000,-0.043891,0.005703,0.149142,1.043565,3.011110,0.081613
0.348679,-0.000054,-0.003004,-0.037072,0.590000,-0.006360,0.005522,0.145004,1.051140,3.011274,0.084779
0.395181,-0.000033,-0.001739,-0.034247,0.600000,-0.013388,0.005802,0.153142,1.058728,3.011392,0.091263
0.435552,0.000211,0.005508,-0.031910,0.610000,-0.024899,0.002799,0.086537,1.064257,3.011741,0.101678
0.465356,-0.002739,-0.059333,-0.029874,0.620000,-0.005036,-0.000263,-0.006889,1.073032,3.012376,0.110396
0.516119,-0.005876,-0.157944,-0.027179,0.630000,-0.005215,-0.000830,-0.021534,1.083408,3.012915,0.119843
0.567522,-0.006620,-0.184174,-0.024826,0.640000,-0.016925,-0.001028,-0.026275,1.094148,3.014130,0.133170
0.608037,-0.006798,-0.192561,-0.024295,0.650000,-0.001119,-0.001618,-0.042864,1.107206,3.013994,0.146423
0.665239,-0.007559,-0.216524,-0.023258,0.660000,-0.011219,-0.001783,-0.046189,1.118336,3.014746,0.160793
0.712830,-0.007917,-0.230768,-0.022179,0.670000,-0.023238,-0.002014,-0.051075,1.130922,3.015070,0.176967
0.749485,-0.008191,-0.241792,-0.023239,0.680000,-0.015177,-0.000737,-0.023111,1.144568,3.014680,0.192517
0.794761,-0.007365,-0.230100,-0.025367,0.690000,-0.004439,0.000509,0.013998,1.159905,3.015066,0.208106
0.851450,-0.006700,-0.211005,-0.028408,0.699052,-0.005243,0.000563,0.018919,1.175614,3.015568,0.225458
0.907886,-0.007479,-0.230070,-0.032220,0.706274,-0.009018,0.000966,0.027035,1.191722,3.017045,0.244285
0.960835,-0.008322,-0.263200,-0.038172,0.711787,-0.009602,0.002467,0.067640,1.209227,3.017474,0.264067
1.013263,-0.008625,-0.283204,-0.046190,0.715500,-0.008096,0.004424,0.120392,1.228360,3.018804,0.284900
1.066815,-0.008907,-0.302026,-0.056719,0.717535,-0.008567,0.004350,0.136980,1.246691,3.018083,0.306176
1.119488,-0.011865,-0.376211,-0.067108,0.717782,-0.006001,0.001144,0.040654,1.266903,3.018327,0.327577
1.174006,-0.018360,-0.587405,-0.077649,0.716222,-0.009537,0.002647,0.076186,1.287300,3.019112,0.350396
1.224172,-0.020728,-0.727717,-0.089244,0.713857,-0.007530,0.004899,0.142513,1.308744,3.018986,0.374428
1.275472,-0.021745,-0.816187,-0.101258,0.710947,-0.007076,0.008844,0.250086,1.331397,3.018231,0.398012
1.325642,-0.020785,-0.845815,-0.114739,0.708085,-0.007163,0.012159,0.345054,1.353410,3.017128,0.422627
1.374193,-0.020294,-0.870493,-0.129147,0.705096,-0.004917,0.014529,0.412999,1.376245,3.016378,0.448359
1.422927,-0.020801,-0.920557,-0.144743,0.701909,-0.000964,0.018395,0.520272,1.400845,3.015223,0.473924
1.473587,-0.019954,-0.947616,-0.161984,0.698373,-0.004585,0.008344,0.313742,1.424944,3.013973,0.500162
1.518220,-0.032577,-1.275215,-0.178441,0.695112,-0.003300,0.002920,0.086973,1.450784,3.012338,0.527288
1.562864,-0.043249,-1.804744,-0.191316,0.692155,-0.007611,0.001926,0.088192,1.478703,3.009227,0.555119
1.602469,-0.046776,-2.188981,-0.203758,0.689660,-0.006907,0.000813,0.046174,1.507134,3.002933,0.584028
1.641659,-0.048004,-2.524046,-0.214032,0.687365,-0.011478,0.000985,0.059415,1.534331,2.996506,0.614667
1.675142,-0.046266,-2.765697,-0.222688,0.685332,-0.011170,0.002188,0.100907,1.561041,2.989091,0.646478
1.707505,-0.042329,-2.911770,-0.230001,0.683416,-0.004078,0.003624,0.126718,1.588755,2.978053,0.677834
1.745393,-0.037387,-3.007291,-0.235041,0.681022,-0.007403,0.003704,0.146645,1.614338,2.966538,0.709580
1.778285,-0.032780,-3.067819,-0.238374,0.678344,-0.002366,0.004441,0.153490,1.642884,2.954488,0.742647
1.814652,-0.027754,-3.110944,-0.241287,0.674981,0.004053,0.005310,0.156982,1.671770,2.937379,0.777158
1.855845,-0.022070,-3.144682,-0.241699,0.670156,-0.001983,0.002993,0.127428,1.696280,2.920785,0.813796
1.889289,-0.018526,-3.195603,-0.239440,0.664490,-0.004010,-0.000801,-0.004318,1.722578,2.901635,0.850860
1.919482,-0.017281,-3.355135,-0.234234,0.658060,-0.004725,-0.001315,-0.015364,1.746684,2.879853,0.888140
1.948263,-0.011794,-3.463665,-0.226524,0.650810,-0.002858,-0.001916,-0.042993,1.770587,2.855048,0.926114
1.977892,-0.004447,-3.535495,-0.215879,0.642344,-0.003396,-0.003296,-0.082551,1.792141,2.828993,0.965836
2.005979,0.003261,-3.580440,-0.202375,0.634172,-0.002749,-0.003634,-0.110875,1.814870,2.801798,1.007127
2.034008,0.012284,-3.581922,-0.188749,0.625763,-0.003315,-0.001965,-0.048812,1.833254,2.771944,1.048946
2.060633,0.023398,-3.457818,-0.173778,0.616600,-0.002757,-0.002708,-0.070029,1.851525,2.739900,1.091602
2.086955,0.030537,-3.315591,-0.157937,0.606600,-0.002855,-0.004948,-0.144001,1.867813,2.706055,1.135259
