vx,vy,omega,delta,T,eps_vx,eps_vy,eps_omega,pos_x,pos_y,theta
0.400000,0.020000,0.000000,-0.007888,0.520000,-0.027499,0.533231,3.504733,2.982770,3.025674,0.519539
0.418021,0.532347,3.482404,-0.038840,0.530000,-0.244151,-0.313919,-3.045851,2.982718,3.017129,0.525602
0.248797,0.021241,0.638426,-0.046295,0.540000,-0.052959,-0.000043,-0.013636,2.982664,3.015268,0.529667
0.242577,-0.004740,-0.128654,-0.047514,0.550000,-0.065935,0.001212,0.033146,2.983324,3.015132,0.529667
0.225933,-0.004291,-0.113122,-0.048699,0.560000,-0.024082,0.000454,0.012435,2.985365,3.014529,0.529667
0.252291,-0.004892,-0.129270,-0.048876,0.570000,-0.023226,0.000430,0.011862,2.988846,3.014211,0.529667
0.280503,-0.005437,-0.144185,-0.048709,0.580000,-0.020475,0.000368,0.010266,2.992818,3.013684,0.529667
0.312296,-0.006001,-0.159811,-0.048129,0.590000,-0.022225,0.000383,0.010769,2.997048,3.013196,0.531937
0.343454,-0.006488,-0.173567,-0.047253,0.600000,-0.010130,0.000155,0.004353,3.003558,3.013177,0.536762
0.387573,-0.007130,-0.192139,-0.046040,0.610000,-0.008879,0.000114,0.003200,3.010454,3.013078,0.544200
0.433811,-0.007705,-0.209500,-0.044361,0.620000,-0.011592,0.000128,0.003662,3.017763,3.013622,0.553644
0.478195,-0.008113,-0.222789,-0.042635,0.630000,-0.005012,0.000011,0.000087,3.027123,3.014082,0.563398
0.530017,-0.008535,-0.237261,-0.040601,0.640000,-0.006543,-0.000020,-0.000800,3.037478,3.013276,0.574867
0.581071,-0.008823,-0.248809,-0.037977,0.650000,-0.004906,-0.000091,-0.003120,3.049233,3.013484,0.587874
0.634503,-0.008920,-0.256033,-0.035235,0.660000,-0.006368,-0.000086,-0.002798,3.060748,3.013409,0.602374
0.687288,-0.008817,-0.257752,-0.032123,0.669892,-0.005473,-0.000087,-0.003002,3.074091,3.013212,0.617420
0.741617,-0.008506,-0.254170,-0.028865,0.678229,-0.008096,-0.000094,-0.002954,3.086630,3.014236,0.633421
0.793902,-0.008046,-0.246086,-0.025846,0.685576,-0.006193,-0.000133,-0.004328,3.100447,3.015049,0.650450
0.848458,-0.007549,-0.236872,-0.022709,0.691498,-0.001196,-0.000157,-0.005720,3.117753,3.014978,0.666729
0.908243,-0.006929,-0.224773,-0.019120,0.695585,-0.002812,-0.000209,-0.007364,3.134972,3.014706,0.685145
0.966262,-0.006139,-0.207521,-0.014907,0.698637,-0.000215,-0.000258,-0.009553,3.154900,3.014597,0.706034
1.026867,-0.005079,-0.182130,-0.010348,0.700562,-0.017696,-0.000276,-0.008114,3.165782,3.011740,0.728746
1.069588,-0.003790,-0.145541,-0.004992,0.701916,-0.000444,-0.000319,-0.012160,3.187531,3.012752,0.748551
1.129360,-0.002227,-0.100969,-0.000412,0.701239,-0.004465,-0.000276,-0.010349,3.207764,3.013904,0.767548
1.184464,-0.000703,-0.051408,0.003360,0.699260,-0.004854,-0.000269,-0.010000,3.228394,3.013783,0.791333
