t,eC,eL,pos_x,pos_y,ref_x,ref_y
3195.895951,-0.005730,0.013013,1.483654,3.005730,1.496667,3.000000
3195.906147,-0.005750,0.026342,1.483658,3.005750,1.510000,3.000000
3195.922072,-0.005125,0.036852,1.486482,3.005125,1.523333,3.000000
3195.945269,-0.004996,0.041378,1.485288,3.004996,1.526667,3.000000
3195.966050,-0.004572,0.041045,1.485622,3.004572,1.526667,3.000000
3195.986493,-0.004492,0.039247,1.487420,3.004492,1.526667,3.000000
3196.006806,-0.004660,0.037403,1.489263,3.004660,1.526667,3.000000
3196.022806,-0.004210,0.033227,1.493439,3.004210,1.526667,3.000000
3196.042868,-0.004266,0.029980,1.496687,3.004266,1.526667,3.000000
3196.062414,-0.003471,0.027205,1.502795,3.003471,1.530000,3.000000
3196.082372,-0.004509,0.026711,1.509956,3.004509,1.536667,3.000000
3196.102863,-0.004510,0.030266,1.516400,3.004510,1.546667,3.000000
3196.122368,-0.004387,0.035151,1.521516,3.004387,1.556667,3.000000
3196.142330,-0.004656,0.034211,1.532455,3.004656,1.566667,3.000000
3196.162467,-0.005109,0.033983,1.542684,3.005109,1.576667,3.000000
3196.182394,-0.006025,0.037191,1.552809,3.006025,1.590000,3.000000
3196.202805,-0.005850,0.042190,1.564477,3.005850,1.606667,3.000000
3196.222324,-0.005517,0.044985,1.575015,3.005517,1.620000,3.000000
3196.242072,-0.006201,0.047002,1.586331,3.006201,1.633333,3.000000
3196.262549,-0.005945,0.046522,1.600145,3.005945,1.646667,3.000000
3196.284715,-0.006081,0.046672,1.616661,3.006081,1.663333,3.000000
3196.302682,-0.007488,0.051376,1.631957,3.007488,1.683333,3.000000
3196.322608,-0.007779,0.055455,1.647878,3.007779,1.703333,3.000000
3196.347113,-0.009297,0.057433,1.665900,3.009297,1.723333,3.000000
3196.364219,-0.011990,0.059019,1.684314,3.011990,1.743333,3.000000
3196.382833,-0.008042,0.059839,1.703495,3.008042,1.763333,3.000000
3196.407532,-0.009119,0.064874,1.721793,3.009119,1.786667,3.000000
3196.422499,-0.009401,0.066154,1.743846,3.009401,1.810000,3.000000
3196.446443,-0.009784,0.068536,1.764798,3.009784,1.833333,3.000000
3196.467670,-0.009652,0.069308,1.787359,3.009652,1.856667,3.000000
3196.486588,-0.011601,0.073590,1.809743,3.011601,1.883333,3.000000
3196.505646,-0.011946,0.074753,1.835247,3.011946,1.910000,3.000000
3196.526370,-0.012887,0.077200,1.859467,3.012887,1.936667,3.000000
3196.546059,-0.012718,0.080003,1.883331,3.012718,1.963333,3.000000
3196.566581,-0.015149,0.079268,1.910732,3.015149,1.990000,3.000000
3196.586151,-0.021045,0.076262,1.943738,3.021045,2.020000,3.000000
3196.606658,-0.021884,0.074536,1.978797,3.021884,2.053333,3.000000
3196.626302,-0.022391,0.122097,1.967903,3.022391,2.090000,3.000000
3196.646158,-0.021710,0.100541,2.009459,3.021710,2.110000,3.000000
3196.665682,-0.021765,0.078655,2.048011,3.021765,2.126667,3.000000
3196.686416,-0.022588,0.084719,2.081947,3.022588,2.166667,3.000000
3196.706256,-0.024783,0.093055,2.113611,3.024783,2.206667,3.000000
3196.726620,-0.025424,0.096727,2.146607,3.025424,2.243333,3.000000
3196.746662,-0.027068,0.099254,2.180746,3.027068,2.280000,3.000000
3196.766599,-0.027843,0.097597,2.215737,3.027843,2.313333,3.000000
3196.787079,-0.028330,0.103905,2.249429,3.028330,2.353333,3.000000
3196.806424,-0.028961,0.104093,2.285907,3.028961,2.390000,3.000000
3196.822345,-0.029721,0.104430,2.322237,3.029721,2.426667,3.000000
3196.847430,-0.030198,0.107946,2.358720,3.030198,2.466667,3.000000
3196.866780,-0.030795,0.106187,2.397147,3.030795,2.503333,3.000000
3196.886251,-0.032123,0.107439,2.435894,3.032123,2.543333,3.000000
3196.906136,-0.032838,0.108569,2.474764,3.032838,2.583333,3.000000
3196.922120,-0.033332,0.112181,2.514485,3.033332,2.626667,3.000000
3196.947025,-0.030957,0.114596,2.552071,3.030957,2.666667,3.000000
3196.966752,-0.038393,0.123883,2.586117,3.038393,2.710000,3.000000
3196.984979,-0.034998,0.113770,2.632896,3.034998,2.746667,3.000000
