t,eC,eL,pos_x,pos_y,ref_x,ref_y
4091.491037,-0.005268,0.013215,1.493452,3.005268,1.506667,3.000000
4091.496916,-0.005279,0.026563,1.493437,3.005279,1.520000,3.000000
4091.517596,-0.005899,0.031916,1.501417,3.005899,1.533333,3.000000
4091.538665,-0.006003,0.041116,1.502217,3.006003,1.543333,3.000000
4091.556867,-0.005910,0.045962,1.500704,3.005910,1.546667,3.000000
4091.577327,-0.006068,0.044934,1.501733,3.006068,1.546667,3.000000
4091.597475,-0.006245,0.041083,1.505584,3.006245,1.546667,3.000000
4091.617456,-0.005506,0.038591,1.508076,3.005506,1.546667,3.000000
4091.637995,-0.004450,0.035113,1.511554,3.004450,1.546667,3.000000
4091.657927,-0.004995,0.032675,1.517325,3.004995,1.550000,3.000000
4091.677879,-0.004914,0.031667,1.525000,3.004914,1.556667,3.000000
4091.698126,-0.005013,0.029533,1.533801,3.005013,1.563333,3.000000
4091.717738,-0.004237,0.035935,1.540731,3.004237,1.576667,3.000000
4091.737644,-0.004109,0.034904,1.551763,3.004109,1.586667,3.000000
4091.757624,-0.003583,0.038417,1.561583,3.003583,1.600000,3.000000
4091.777825,-0.003482,0.041890,1.571444,3.003482,1.613333,3.000000
4091.798009,-0.004134,0.047877,1.578790,3.004134,1.626667,3.000000
4091.817504,-0.004914,0.047349,1.592651,3.004914,1.640000,3.000000
4091.837380,-0.004310,0.045632,1.604368,3.004310,1.650000,3.000000
4091.857497,-0.004308,0.044218,1.622449,3.004308,1.666667,3.000000
4091.881159,-0.003278,0.048631,1.638036,3.003278,1.686667,3.000000
4091.898074,-0.002764,0.052400,1.654267,3.002764,1.706667,3.000000
4091.919545,-0.003143,0.054519,1.672148,3.003143,1.726667,3.000000
4091.942193,-0.001795,0.060505,1.686161,3.001795,1.746667,3.000000
4091.961859,-0.001553,0.061489,1.705178,3.001553,1.766667,3.000000
4091.979279,-0.001095,0.057466,1.729200,3.001095,1.786667,3.000000
4091.997549,0.000745,0.062809,1.747191,2.999255,1.810000,3.000000
4092.016995,0.000057,0.067253,1.769414,2.999943,1.836667,3.000000
4092.037299,0.000880,0.067802,1.792198,2.999120,1.860000,3.000000
4092.057038,0.000867,0.069480,1.817187,2.999133,1.886667,3.000000
4092.077335,0.000890,0.070684,1.842649,2.999110,1.913333,3.000000
4092.097093,0.001378,0.078484,1.861516,2.998622,1.940000,3.000000
4092.119285,0.001614,0.079876,1.886791,2.998386,1.966667,3.000000
4092.138975,0.003573,0.076593,1.916741,2.996427,1.993333,3.000000
4092.158967,0.003380,0.077704,1.945629,2.996620,2.023333,3.000000
4092.178476,0.002883,0.082556,1.974111,2.997117,2.056667,3.000000
4092.199100,0.002282,0.086506,2.003494,2.997718,2.090000,3.000000
4092.218466,0.002195,0.087253,2.032747,2.997805,2.120000,3.000000
4092.238491,0.002991,0.092332,2.061001,2.997009,2.153333,3.000000
