t,eC,eL,pos_x,pos_y,ref_x,ref_y
4491.751793,-0.017323,0.014268,1.495732,3.017323,1.510000,3.000000
4491.758431,-0.017380,0.027589,1.495744,3.017380,1.523333,3.000000
4491.778682,-0.006343,0.039773,1.500227,3.006343,1.540000,3.000000
4491.797709,-0.008801,0.045228,1.498105,3.008801,1.543333,3.000000
4491.819021,-0.011975,0.044371,1.498962,3.011975,1.543333,3.000000
4491.838963,-0.012609,0.044680,1.498653,3.012609,1.543333,3.000000
4491.859124,-0.012417,0.043001,1.500333,3.012417,1.543333,3.000000
4491.879487,-0.012757,0.038954,1.504380,3.012757,1.543333,3.000000
4491.899970,-0.013570,0.033107,1.510227,3.013570,1.543333,3.000000
4491.918531,-0.012890,0.028895,1.517772,3.012890,1.546667,3.000000
4491.938362,-0.012583,0.033526,1.523141,3.012583,1.556667,3.000000
4491.962030,-0.011395,0.035959,1.530708,3.011395,1.566667,3.000000
4491.978879,-0.010915,0.037554,1.539113,3.010915,1.576667,3.000000
4491.998866,-0.012911,0.035438,1.551229,3.012911,1.586667,3.000000
4492.018591,-0.010268,0.041415,1.558585,3.010268,1.600000,3.000000
4492.038606,-0.009464,0.044120,1.569213,3.009464,1.613333,3.000000
4492.058911,-0.009423,0.046361,1.580306,3.009423,1.626667,3.000000
4492.078603,-0.010128,0.046983,1.593017,3.010128,1.640000,3.000000
4492.098923,-0.012626,0.045155,1.608179,3.012626,1.653333,3.000000
4492.118567,-0.009588,0.049507,1.620493,3.009588,1.670000,3.000000
4492.139205,-0.008427,0.052425,1.637575,3.008427,1.690000,3.000000
4492.158739,-0.007736,0.053958,1.652708,3.007736,1.706667,3.000000
4492.180318,-0.008294,0.057574,1.669093,3.008294,1.726667,3.000000
4492.199037,-0.009463,0.055694,1.690972,3.009463,1.746667,3.000000
4492.218141,-0.003951,0.061405,1.705262,3.003951,1.766667,3.000000
4492.239318,-0.006157,0.060501,1.729499,3.006157,1.790000,3.000000
4492.259651,-0.003165,0.069751,1.743583,3.003165,1.813333,3.000000
4492.278501,-0.001570,0.070626,1.766041,3.001570,1.836667,3.000000
4492.298607,-0.000487,0.066745,1.789922,3.000487,1.856667,3.000000
4492.318514,-0.000374,0.070019,1.813315,3.000374,1.883333,3.000000
4492.338340,0.001461,0.076451,1.836883,2.998539,1.913333,3.000000
4492.358980,0.000218,0.079222,1.860778,2.999782,1.940000,3.000000
4492.378215,-0.002247,0.074689,1.891978,3.002247,1.966667,3.000000
4492.398063,0.001584,0.084910,1.911757,2.998416,1.996667,3.000000
4492.418075,0.001304,0.087585,1.939082,2.998696,2.026667,3.000000
4492.437999,0.002484,0.089073,1.967594,2.997516,2.056667,3.000000
4492.457796,0.003594,0.089098,1.997568,2.996406,2.086667,3.000000
4492.477656,-0.000158,0.086846,2.033154,3.000158,2.120000,3.000000
4492.497661,0.005179,0.097098,2.056235,2.994821,2.153333,3.000000
4492.518053,0.005892,0.101711,2.088289,2.994108,2.190000,3.000000
4492.538437,0.006307,0.099587,2.120413,2.993693,2.220000,3.000000
4492.558269,0.005128,0.100927,2.152406,2.994872,2.253333,3.000000
4492.578031,0.000641,0.096470,2.193530,2.999359,2.290000,3.000000
4492.598156,0.000592,0.092613,2.237387,2.999408,2.330000,3.000000
4492.617544,0.001219,0.140814,2.232520,2.998781,2.373333,3.000000
4492.638514,0.003134,0.119822,2.280178,2.996866,2.400000,3.000000
4492.658090,0.002686,0.101837,2.321496,2.997314,2.423333,3.000000
4492.678293,0.000688,0.106265,2.360402,2.999312,2.466667,3.000000
4492.698293,0.000019,0.110538,2.399462,2.999981,2.510000,3.000000
4492.718079,-0.000325,0.113582,2.439751,3.000325,2.553333,3.000000
4492.739713,0.000757,0.114673,2.478661,2.999243,2.593333,3.000000
4492.759698,0.001432,0.117865,2.518801,2.998568,2.636667,3.000000
4492.777395,0.001711,0.120204,2.559796,2.998289,2.680000,3.000000
4492.797705,0.002622,0.121209,2.602125,2.997378,2.723333,3.000000
4492.818337,-0.002530,0.116091,2.650576,3.002530,2.766667,3.000000
4492.838307,0.002835,0.126827,2.686507,2.997165,2.813333,3.000000
4492.858309,0.002521,0.126767,2.729900,2.997479,2.856667,3.000000
4492.878314,0.003349,0.125613,2.774387,2.996651,2.900000,3.000000
4492.898290,0.003230,0.123844,2.819490,2.996770,2.943333,3.000000
4492.918238,-0.002114,0.118851,2.871149,3.002114,2.990000,3.000000
4492.939314,0.002464,0.128298,2.911702,2.997536,3.040000,3.000000
4492.958568,0.000700,0.128384,2.958282,2.999300,3.086667,3.000000
4492.978840,-0.002695,0.127022,3.006311,3.002695,3.133333,3.000000
4492.998882,-0.012939,0.121251,3.058749,3.012939,3.180000,3.000000
4493.018581,-0.015451,0.126484,3.103516,3.015451,3.230000,3.000000
4493.038541,-0.015724,0.127876,3.152124,3.015724,3.280000,3.000000
4493.058217,-0.023552,0.130749,3.199251,3.023552,3.330000,3.000000
4493.078145,-0.036224,0.123321,3.253346,3.036224,3.376667,3.000000
4493.098588,-0.037796,0.135014,3.294986,3.037796,3.430000,3.000000
4493.118666,-0.044225,0.129556,3.347111,3.044225,3.476667,3.000000
4493.138536,-0.049521,0.126005,3.397329,3.049521,3.523333,3.000000
4493.158585,-0.054340,0.129564,3.447102,3.054340,3.576667,3.000000
4493.178550,-0.057271,0.127202,3.499464,3.057271,3.626667,3.000000
4493.198238,-0.063766,0.121073,3.555594,3.063766,3.676667,3.000000
4493.217934,-0.054903,0.126905,3.603095,3.054903,3.730000,3.000000
4493.238265,-0.052091,0.127883,3.652117,3.052091,3.780000,3.000000
4493.258489,-0.046927,0.128214,3.701786,3.046927,3.830000,3.000000
4493.278449,-0.038983,0.128384,3.748283,3.038983,3.876667,3.000000
4493.298786,-0.031130,0.119010,3.804323,3.031130,3.923333,3.000000
4493.318909,-0.013399,0.125716,3.847617,3.013399,3.973333,3.000000
4493.338825,0.012641,0.128872,3.894064,2.992853,4.023386,2.999453
4493.358517,0.045617,0.130804,3.934054,2.968215,4.069954,2.995082
4493.378738,0.075246,0.131713,3.976276,2.944074,4.122402,2.984786
4493.398479,0.101334,0.132023,4.017278,2.919602,4.176581,2.967781
4493.419119,0.140620,0.141611,4.043399,2.883828,4.234408,2.941648
4493.439196,0.165475,0.141575,4.077355,2.854917,4.288459,2.908401
