t,eC,eL,pos_x,pos_y,ref_x,ref_y
3337.993525,-0.013958,0.013228,1.486772,3.013958,1.500000,3.000000
3337.999386,-0.014014,0.026536,1.486798,3.014014,1.513333,3.000000
3338.020027,-0.016520,0.032220,1.494446,3.016520,1.526667,3.000000
3338.039886,-0.016200,0.041588,1.495078,3.016200,1.536667,3.000000
3338.059115,-0.015899,0.048688,1.491312,3.015899,1.540000,3.000000
3338.079665,-0.016442,0.048451,1.491549,3.016442,1.540000,3.000000
3338.099884,-0.016390,0.044798,1.495202,3.016390,1.540000,3.000000
3338.119714,-0.017285,0.042381,1.497619,3.017285,1.540000,3.000000
3338.139679,-0.017432,0.040085,1.499915,3.017432,1.540000,3.000000
3338.159872,-0.016287,0.035764,1.504236,3.016287,1.540000,3.000000
3338.179933,-0.017663,0.030207,1.513126,3.017663,1.543333,3.000000
3338.199887,-0.017411,0.029298,1.520702,3.017411,1.550000,3.000000
3338.220630,-0.017554,0.029266,1.530734,3.017554,1.560000,3.000000
3338.240295,-0.017373,0.032692,1.540641,3.017373,1.573333,3.000000
3338.260352,-0.018159,0.036040,1.550627,3.018159,1.586667,3.000000
3338.280337,-0.017308,0.038377,1.561623,3.017308,1.600000,3.000000
3338.300258,-0.017059,0.039822,1.573511,3.017059,1.613333,3.000000
3338.320420,-0.017218,0.042840,1.587160,3.017218,1.630000,3.000000
3338.340382,-0.016925,0.045015,1.601652,3.016925,1.646667,3.000000
3338.360349,-0.017128,0.046528,1.616805,3.017128,1.663333,3.000000
3338.380628,-0.014076,0.052591,1.630742,3.014076,1.683333,3.000000
3338.401026,-0.014170,0.051966,1.648034,3.014170,1.700000,3.000000
3338.420680,-0.015100,0.056176,1.663824,3.015100,1.720000,3.000000
3338.440120,-0.013932,0.056183,1.683817,3.013932,1.740000,3.000000
3338.460730,-0.012752,0.061210,1.702123,3.012752,1.763333,3.000000
3338.480233,-0.011445,0.059520,1.723814,3.011445,1.783333,3.000000
3338.500262,-0.009811,0.062174,1.744493,3.009811,1.806667,3.000000
3338.520504,-0.008912,0.066400,1.766933,3.008912,1.833333,3.000000
3338.540456,-0.006430,0.068002,1.788665,3.006430,1.856667,3.000000
3338.560684,-0.004694,0.070013,1.813321,3.004694,1.883333,3.000000
3338.580406,-0.003253,0.071808,1.838192,3.003253,1.910000,3.000000
3338.600287,0.001782,0.075327,1.864673,2.998218,1.940000,3.000000
3338.620456,0.003365,0.070263,1.896404,2.996635,1.966667,3.000000
3338.640277,-0.004169,0.099275,1.900725,3.004169,2.000000,3.000000
3338.660276,-0.002084,0.088896,1.934437,3.002084,2.023333,3.000000
3338.681236,-0.000069,0.077937,1.965396,3.000069,2.043333,3.000000
3338.700288,0.002504,0.082185,1.997815,2.997496,2.080000,3.000000
3338.721197,0.007493,0.083029,2.030304,2.992507,2.113333,3.000000
3338.740713,0.004065,0.092043,2.057957,2.995935,2.150000,3.000000
3338.761519,0.006865,0.094441,2.088892,2.993135,2.183333,3.000000
3338.781895,0.007985,0.094235,2.122432,2.992015,2.216667,3.000000
3338.801952,0.008587,0.094065,2.155935,2.991413,2.250000,3.000000
3338.820527,0.008882,0.095614,2.191053,2.991118,2.286667,3.000000
3338.839842,0.008704,0.098036,2.225297,2.991296,2.323333,3.000000
3338.860006,0.008954,0.102689,2.260644,2.991046,2.363333,3.000000
3338.880193,0.006827,0.106406,2.293594,2.993173,2.400000,3.000000
3338.900117,0.007484,0.104252,2.332415,2.992516,2.436667,3.000000
3338.920289,0.008007,0.102795,2.370538,2.991993,2.473333,3.000000
3338.940618,0.007711,0.104338,2.408996,2.992289,2.513333,3.000000
3338.960455,0.007768,0.108836,2.447830,2.992232,2.556667,3.000000
3338.980884,0.011234,0.109302,2.487365,2.988766,2.596667,3.000000
3338.999899,0.010688,0.109751,2.526916,2.989312,2.636667,3.000000
3339.020366,0.011459,0.113489,2.566511,2.988541,2.680000,3.000000
3339.039501,0.010894,0.111951,2.608049,2.989106,2.720000,3.000000
3339.059624,0.011222,0.113953,2.649381,2.988778,2.763333,3.000000
3339.081394,0.010538,0.114568,2.692098,2.989462,2.806667,3.000000
3339.099620,0.011041,0.115003,2.734997,2.988959,2.850000,3.000000
3339.120695,0.012695,0.115863,2.777471,2.987305,2.893333,3.000000
3339.141660,0.016608,0.110943,2.825724,2.983392,2.936667,3.000000
3339.160895,0.009550,0.120672,2.862661,2.990450,2.983333,3.000000
3339.180407,0.010537,0.122171,2.907829,2.989463,3.030000,3.000000
3339.200825,0.012339,0.114701,2.955299,2.987661,3.070000,3.000000
3339.219321,0.013967,0.114613,3.002054,2.986033,3.116667,3.000000
3339.239786,0.014934,0.118794,3.047873,2.985066,3.166667,3.000000
3339.259654,0.015404,0.119560,3.093773,2.984596,3.213333,3.000000
3339.279754,0.015145,0.122846,3.137154,2.984855,3.260000,3.000000
3339.300043,0.017364,0.117615,3.185718,2.982636,3.303333,3.000000
3339.319490,0.004980,0.124537,3.225463,2.995020,3.350000,3.000000
3339.339535,0.001930,0.122446,3.274221,2.998070,3.396667,3.000000
3339.360214,-0.002730,0.117947,3.322053,3.002730,3.440000,3.000000
3339.380635,-0.007068,0.116943,3.369724,3.007068,3.486667,3.000000
3339.400721,-0.012667,0.119784,3.416882,3.012667,3.536667,3.000000
3339.419825,-0.017372,0.117997,3.465336,3.017372,3.583333,3.000000
3339.440126,-0.021121,0.120536,3.512797,3.021121,3.633333,3.000000
3339.459881,-0.023834,0.121243,3.558757,3.023834,3.680000,3.000000
3339.479650,-0.026839,0.123347,3.603320,3.026839,3.726667,3.000000
3339.500206,-0.025597,0.122072,3.651261,3.025597,3.773333,3.000000
3339.520480,-0.019771,0.114116,3.702551,3.019771,3.816667,3.000000
3339.540378,-0.023395,0.121920,3.741413,3.023395,3.863333,3.000000
3339.560872,-0.016472,0.120911,3.789089,3.016472,3.910000,3.000000
3339.580363,-0.008206,0.117287,3.832713,3.008206,3.950000,3.000000
3339.600350,0.005198,0.117043,3.879624,2.994802,3.996667,3.000000
3339.620560,0.028649,0.119903,3.918249,2.979442,4.040062,2.998392
3339.641319,0.051069,0.115398,3.967058,2.962354,4.089748,2.991879
3339.660329,0.076822,0.119780,4.002157,2.939798,4.138532,2.980426
3339.680660,0.100059,0.124274,4.036146,2.917241,4.189024,2.962893
3339.701277,0.122651,0.123481,4.070450,2.890738,4.237355,2.940071
3339.720639,0.145205,0.123249,4.099184,2.862260,4.282974,2.912221
3339.741453,0.161623,0.118011,4.132807,2.832848,4.327889,2.877477
3339.761244,0.176995,0.117728,4.162615,2.802900,4.373060,2.832906
3339.781260,0.190332,0.113685,4.189161,2.770253,4.410320,2.785723
3339.801577,0.200718,0.111546,4.213652,2.737413,4.443205,2.731451
3339.821431,0.207946,0.110383,4.235626,2.704842,4.468951,2.673450
3339.841221,0.208217,0.103030,4.258822,2.669598,4.485594,2.619159
3339.859904,0.206199,0.097733,4.279056,2.634159,4.495973,2.563330
3339.881887,0.197572,0.090018,4.299913,2.598071,4.499821,2.513367
3339.899467,0.178284,0.095952,4.321716,2.562618,4.500000,2.466667
3339.922051,0.157754,0.101677,4.342246,2.528344,4.500000,2.426667
3339.942098,0.148768,0.103104,4.351232,2.493104,4.500000,2.390000
3339.964924,0.128133,0.105366,4.371867,2.458699,4.500000,2.353333
3339.983152,0.111114,0.106141,4.388886,2.422808,4.500000,2.316667
3339.999748,0.096717,0.108023,4.403283,2.388023,4.500000,2.280000
3340.020256,0.083928,0.108647,4.416072,2.351980,4.500000,2.243333
3340.039914,0.068205,0.108821,4.431795,2.315488,4.500000,2.206667
3340.059821,0.057513,0.109355,4.442487,2.279355,4.500000,2.170000
3340.080297,0.043029,0.109538,4.456971,2.242871,4.500000,2.133333
3340.100558,0.034719,0.108483,4.465281,2.205149,4.500000,2.096667
3340.120768,0.029024,0.107092,4.470976,2.167092,4.500000,2.060000
3340.140671,0.020073,0.110401,4.479927,2.130401,4.500000,2.020000
3340.159979,0.017768,0.110819,4.482232,2.090819,4.500000,1.980000
3340.180295,0.014569,0.109518,4.485431,2.052851,4.500000,1.943333
3340.200305,0.008716,0.112691,4.491284,2.016025,4.500000,1.903333
3340.221297,-0.000021,0.112574,4.500021,1.979240,4.500000,1.866667
3340.240510,-0.009877,0.113426,4.509877,1.943426,4.500000,1.830000
3340.260722,-0.016727,0.112012,4.516727,1.905346,4.500000,1.793333
3340.280696,-0.018298,0.113105,4.518298,1.869771,4.500000,1.756667
3340.300751,-0.021856,0.118354,4.521856,1.835020,4.500000,1.716667
3340.320852,-0.022706,0.115782,4.522706,1.799116,4.500000,1.683333
3340.341240,-0.026239,0.116587,4.526239,1.763254,4.500000,1.646667
3340.362669,-0.026691,0.115223,4.526691,1.725223,4.500000,1.610000
3340.381155,-0.033784,0.116868,4.533784,1.690202,4.500000,1.573333
3340.401702,-0.033931,0.117304,4.533931,1.653971,4.500000,1.536667
3340.421702,-0.040744,0.116426,4.540744,1.619759,4.500000,1.503333
3340.441751,-0.044017,0.115566,4.544017,1.582233,4.500000,1.466667
3340.461705,-0.055562,0.118578,4.555562,1.551912,4.500000,1.433333
3340.481855,-0.061108,0.119109,4.561108,1.515775,4.500000,1.396667
3340.501668,-0.061827,0.117679,4.561827,1.484346,4.500000,1.366667
3340.522115,-0.056787,0.121927,4.556787,1.451927,4.500000,1.330000
3340.541918,-0.059151,0.119835,4.559151,1.419835,4.500000,1.300000
3340.562180,-0.051142,0.121169,4.551142,1.387836,4.500000,1.266667
3340.581827,-0.047426,0.122012,4.547426,1.358679,4.500000,1.236667
3340.601413,-0.047186,0.119717,4.547186,1.326384,4.500000,1.206667
3340.621566,-0.046996,0.118864,4.546996,1.295531,4.500000,1.176667
3340.641586,-0.040931,0.123094,4.540931,1.266428,4.500000,1.143333
3340.661451,-0.040593,0.124386,4.540593,1.237720,4.500000,1.113333
3340.681047,-0.031973,0.119724,4.531973,1.206391,4.500000,1.086667
3340.701743,-0.025789,0.119375,4.525789,1.176042,4.500000,1.056667
3340.721774,-0.023622,0.121240,4.523622,1.147906,4.500000,1.026667
3340.741735,-0.017060,0.119145,4.517060,1.119145,4.500000,1.000000
3340.761332,-0.001830,0.120318,4.508145,1.089994,4.499099,0.970003
3340.781028,0.005625,0.115462,4.504645,1.055418,4.496401,0.940114
3340.801278,0.022799,0.124774,4.492070,1.033999,4.491305,0.907161
3340.821439,0.033608,0.128099,4.483555,1.010281,4.484851,0.877853
3340.842465,0.038794,0.126683,4.478042,0.984656,4.477646,0.852167
3340.862392,0.046848,0.122682,4.467602,0.958216,4.469081,0.826902
3340.881971,0.066501,0.119191,4.444854,0.934939,4.457851,0.799072
3340.901590,0.074946,0.119776,4.432900,0.912740,4.444972,0.771965
3340.920583,0.084344,0.122100,4.419258,0.890908,4.428784,0.742815
3340.940826,0.094924,0.125026,4.404033,0.871644,4.410689,0.714808
3340.963941,0.104332,0.123583,4.387321,0.852322,4.392839,0.690682
3340.983271,0.111473,0.121847,4.371274,0.832800,4.373574,0.667671
3341.003741,0.119288,0.121466,4.354787,0.816094,4.352963,0.645858
3341.019466,0.126879,0.123964,4.339960,0.802483,4.331081,0.625320
3341.039527,0.132215,0.122739,4.323246,0.785891,4.308006,0.606132
3341.060262,0.140084,0.119962,4.304581,0.773812,4.286561,0.590265
3341.079707,0.147797,0.118572,4.285244,0.761794,4.261463,0.573811
3341.099409,0.152741,0.116945,4.266676,0.748705,4.235423,0.558892
3341.120450,0.157996,0.117188,4.247396,0.736380,4.205499,0.544182
3341.139546,0.163399,0.117479,4.229485,0.727166,4.177782,0.532674
3341.159531,0.167115,0.116312,4.210480,0.717088,4.149425,0.522850
3341.179550,0.171229,0.115136,4.190994,0.708679,4.120529,0.514745
3341.199585,0.175449,0.113089,4.170390,0.701520,4.091200,0.508388
3341.219543,0.179603,0.111035,4.149626,0.695706,4.061541,0.503802
3341.239245,0.184476,0.112556,4.132310,0.692236,4.031662,0.501003
3341.259237,0.188569,0.111931,4.112969,0.688944,4.001668,0.500003
3341.279407,0.192737,0.108906,4.093405,0.687676,3.974998,0.500626
3341.299225,0.197467,0.108691,4.074805,0.687359,3.945083,0.503025
3341.319228,0.198081,0.103952,4.053448,0.685192,3.918655,0.506661
3341.339172,0.199238,0.100101,4.030966,0.684533,3.889204,0.512430
3341.359464,0.198755,0.097166,4.009031,0.683601,3.860152,0.519956
3341.379420,0.198351,0.098849,3.989365,0.682745,3.828468,0.530344
3341.399468,0.198783,0.095147,3.967128,0.685828,3.800600,0.541481
3341.419441,0.200645,0.091969,3.946349,0.691466,3.773451,0.554270
3341.439415,0.201347,0.090089,3.926669,0.696797,3.747117,0.568664
3341.459436,0.202256,0.093845,3.910241,0.700999,3.718931,0.586478
3341.479409,0.201442,0.091646,3.890226,0.707621,3.694628,0.604086
3341.499466,0.203130,0.086311,3.871844,0.718650,3.673947,0.620936
3341.519425,0.198521,0.086576,3.852176,0.723354,3.651792,0.641181
3341.539430,0.198517,0.085172,3.834895,0.733755,3.630892,0.662717
3341.559447,0.196073,0.082389,3.815568,0.744765,3.611322,0.685469
3341.579432,0.193454,0.083896,3.799333,0.753542,3.593152,0.709354
3341.599453,0.189068,0.082113,3.780245,0.765204,3.576448,0.734287
3341.619413,0.188118,0.081114,3.765242,0.779232,3.561270,0.760176
