t,eC,eL,pos_x,pos_y,ref_x,ref_y
4249.180166,-0.010492,0.012562,1.484105,3.010492,1.496667,3.000000
4249.186014,-0.010485,0.025889,1.484111,3.010485,1.510000,3.000000
4249.206230,-0.018029,0.035140,1.491527,3.018029,1.526667,3.000000
4249.225895,-0.018004,0.041121,1.492212,3.018004,1.533333,3.000000
4249.246364,-0.011879,0.048847,1.491153,3.011879,1.540000,3.000000
4249.266681,-0.012341,0.048920,1.491080,3.012341,1.540000,3.000000
4249.287261,-0.011450,0.048308,1.491692,3.011450,1.540000,3.000000
4249.306352,-0.011275,0.044882,1.495118,3.011275,1.540000,3.000000
4249.327575,-0.011183,0.043491,1.496509,3.011183,1.540000,3.000000
4249.346839,-0.010260,0.036713,1.503287,3.010260,1.540000,3.000000
4249.368277,-0.011878,0.028619,1.511381,3.011878,1.540000,3.000000
4249.387413,-0.012343,0.030803,1.519197,3.012343,1.550000,3.000000
4249.407741,-0.012874,0.034247,1.525753,3.012874,1.560000,3.000000
4249.427730,-0.012296,0.034925,1.535075,3.012296,1.570000,3.000000
4249.447804,-0.012401,0.037169,1.542831,3.012401,1.580000,3.000000
4249.466917,-0.011905,0.039383,1.553950,3.011905,1.593333,3.000000
4249.486898,-0.008629,0.043831,1.562835,3.008629,1.606667,3.000000
4249.506765,-0.008761,0.044700,1.575300,3.008761,1.620000,3.000000
4249.531335,-0.008085,0.043339,1.589994,3.008085,1.633333,3.000000
4249.551389,-0.008236,0.043535,1.606465,3.008236,1.650000,3.000000
4249.567339,-0.008671,0.048468,1.621532,3.008671,1.670000,3.000000
4249.587389,-0.008982,0.048725,1.637942,3.008982,1.686667,3.000000
4249.607861,-0.008335,0.052148,1.654518,3.008335,1.706667,3.000000
4249.626583,-0.007915,0.054913,1.671754,3.007915,1.726667,3.000000
4249.647325,-0.006601,0.057491,1.689175,3.006601,1.746667,3.000000
4249.666445,-0.005796,0.062175,1.707825,3.005796,1.770000,3.000000
4249.688056,-0.005660,0.061569,1.728431,3.005660,1.790000,3.000000
4249.706734,-0.004510,0.063137,1.750197,3.004510,1.813333,3.000000
4249.726857,-0.003869,0.065030,1.771637,3.003869,1.836667,3.000000
4249.746922,-0.002510,0.067177,1.796156,3.002510,1.863333,3.000000
4249.768105,-0.002840,0.071180,1.818820,3.002840,1.890000,3.000000
4249.786556,-0.001091,0.073909,1.842757,3.001091,1.916667,3.000000
4249.807026,-0.000211,0.069994,1.873339,3.000211,1.943333,3.000000
4249.828103,0.004347,0.094512,1.878822,2.995653,1.973333,3.000000
4249.848668,0.003849,0.084006,1.912661,2.996151,1.996667,3.000000
4249.866884,0.004266,0.076228,1.943772,2.995734,2.020000,3.000000
4249.886893,0.003583,0.079361,1.973972,2.996417,2.053333,3.000000
4249.907230,0.003523,0.083657,2.003009,2.996477,2.086667,3.000000
4249.927151,0.000714,0.091261,2.032072,2.999286,2.123333,3.000000
4249.948562,0.001326,0.089030,2.064303,2.998674,2.153333,3.000000
4249.967541,0.002151,0.089527,2.097140,2.997849,2.186667,3.000000
4249.987691,0.003130,0.093712,2.129621,2.996870,2.223333,3.000000
4250.007954,0.003662,0.097120,2.162880,2.996338,2.260000,3.000000
4250.027743,0.004280,0.100215,2.196452,2.995720,2.296667,3.000000
4250.047379,0.004165,0.099464,2.230536,2.995835,2.330000,3.000000
4250.066761,0.003651,0.100282,2.266385,2.996349,2.366667,3.000000
4250.087057,0.003027,0.105006,2.301661,2.996973,2.406667,3.000000
4250.108330,0.003638,0.104612,2.338721,2.996362,2.443333,3.000000
4250.126516,0.003292,0.107999,2.375334,2.996708,2.483333,3.000000
4250.147882,0.003579,0.109612,2.413722,2.996421,2.523333,3.000000
4250.166150,0.004564,0.111668,2.451665,2.995436,2.563333,3.000000
4250.186157,0.001577,0.115777,2.487556,2.998423,2.603333,3.000000
4250.207301,0.002746,0.111007,2.528993,2.997254,2.640000,3.000000
4250.227297,0.004260,0.113035,2.570299,2.995740,2.683333,3.000000
4250.246992,0.006370,0.111856,2.611477,2.993630,2.723333,3.000000
4250.267310,0.003541,0.116776,2.649890,2.996459,2.766667,3.000000
4250.287043,0.001766,0.119435,2.690565,2.998234,2.810000,3.000000
