t,eC,eL,pos_x,pos_y,ref_x,ref_y
4398.059683,-0.008986,0.012082,1.491252,3.008986,1.503333,3.000000
4398.065502,-0.008988,0.025395,1.491272,3.008988,1.516667,3.000000
4398.086152,-0.009428,0.034999,1.498334,3.009428,1.533333,3.000000
4398.105058,-0.009217,0.041587,1.498413,3.009217,1.540000,3.000000
4398.126197,-0.009939,0.044916,1.498417,3.009939,1.543333,3.000000
4398.145973,-0.010261,0.044214,1.499119,3.010261,1.543333,3.000000
4398.166227,-0.010533,0.040096,1.503237,3.010533,1.543333,3.000000
4398.186227,-0.010090,0.036976,1.506357,3.010090,1.543333,3.000000
4398.206919,-0.009938,0.035973,1.510694,3.009938,1.546667,3.000000
4398.226902,-0.009867,0.034468,1.515532,3.009867,1.550000,3.000000
4398.246509,-0.010503,0.033692,1.522974,3.010503,1.556667,3.000000
4398.266538,-0.010304,0.031344,1.531989,3.010304,1.563333,3.000000
4398.286545,-0.010512,0.036681,1.539986,3.010512,1.576667,3.000000
4398.306563,-0.010151,0.037978,1.548689,3.010151,1.586667,3.000000
4398.326491,-0.010540,0.040844,1.559156,3.010540,1.600000,3.000000
4398.346469,-0.009835,0.044312,1.569021,3.009835,1.613333,3.000000
4398.366782,-0.009499,0.043457,1.579876,3.009499,1.623333,3.000000
4398.386724,-0.009433,0.047657,1.592343,3.009433,1.640000,3.000000
4398.407551,-0.010118,0.047244,1.606090,3.010118,1.653333,3.000000
4398.426271,-0.010617,0.049740,1.620260,3.010617,1.670000,3.000000
4398.448508,-0.009822,0.051544,1.635123,3.009822,1.686667,3.000000
4398.466322,-0.010146,0.054986,1.651680,3.010146,1.706667,3.000000
4398.486024,-0.010010,0.054287,1.669046,3.010010,1.723333,3.000000
4398.506077,-0.009067,0.060966,1.685701,3.009067,1.746667,3.000000
4398.526337,-0.007742,0.064274,1.702393,3.007742,1.766667,3.000000
4398.546177,-0.006233,0.064082,1.722585,3.006233,1.786667,3.000000
4398.566736,-0.005806,0.063577,1.743090,3.005806,1.806667,3.000000
4398.586750,-0.006074,0.067938,1.765395,3.006074,1.833333,3.000000
4398.606102,-0.005394,0.069470,1.787197,3.005394,1.856667,3.000000
4398.626247,-0.003543,0.073004,1.810329,3.003543,1.883333,3.000000
4398.646152,-0.001970,0.076259,1.833741,3.001970,1.910000,3.000000
4398.665590,-0.000978,0.072773,1.863894,3.000978,1.936667,3.000000
4398.685889,-0.000026,0.071323,1.895344,3.000026,1.966667,3.000000
4398.705563,0.002346,0.109591,1.890409,2.997654,2.000000,3.000000
4398.725803,0.003606,0.094565,1.925435,2.996394,2.020000,3.000000
4398.745868,0.003728,0.078883,1.957784,2.996272,2.036667,3.000000
4398.765562,0.003725,0.083769,1.989564,2.996275,2.073333,3.000000
4398.785570,0.004274,0.089678,2.020322,2.995726,2.110000,3.000000
4398.805861,0.004240,0.092177,2.051156,2.995760,2.143333,3.000000
4398.825885,0.003334,0.093674,2.082993,2.996666,2.176667,3.000000
4398.845914,0.003818,0.099385,2.113948,2.996182,2.213333,3.000000
4398.865848,0.003859,0.100438,2.146229,2.996141,2.246667,3.000000
4398.885579,0.003425,0.104041,2.179293,2.996575,2.283333,3.000000
4398.910496,0.002935,0.106884,2.213116,2.997065,2.320000,3.000000
4398.926067,0.003927,0.110886,2.245780,2.996073,2.356667,3.000000
4398.945877,0.001831,0.111189,2.282144,2.998169,2.393333,3.000000
4398.966079,-0.000538,0.111755,2.318245,3.000538,2.430000,3.000000
4398.986015,-0.001547,0.113535,2.356465,3.001547,2.470000,3.000000
4399.006324,-0.001605,0.116630,2.393370,3.001605,2.510000,3.000000
4399.026260,-0.001804,0.118932,2.431068,3.001804,2.550000,3.000000
4399.046296,-0.002536,0.118923,2.471077,3.002536,2.590000,3.000000
4399.068469,-0.002184,0.118983,2.511017,3.002184,2.630000,3.000000
4399.086078,-0.002407,0.121895,2.551439,3.002407,2.673333,3.000000
4399.106564,-0.003208,0.120452,2.592881,3.003208,2.713333,3.000000
4399.126290,-0.003072,0.123343,2.633323,3.003072,2.756667,3.000000
4399.146519,-0.003484,0.123140,2.676860,3.003484,2.800000,3.000000
4399.170190,-0.003137,0.123465,2.719868,3.003137,2.843333,3.000000
4399.185904,-0.002272,0.125632,2.764368,3.002272,2.890000,3.000000
4399.206152,-0.002293,0.127492,2.809175,3.002293,2.936667,3.000000
4399.225953,-0.000758,0.133945,2.849388,3.000758,2.983333,3.000000
4399.245976,-0.004351,0.129492,2.897175,3.004351,3.026667,3.000000
4399.266081,-0.009115,0.129181,2.944153,3.009115,3.073333,3.000000
4399.286076,-0.012979,0.128004,2.991996,3.012979,3.120000,3.000000
4399.305994,-0.018877,0.127848,3.038819,3.018877,3.166667,3.000000
4399.325794,-0.024240,0.134621,3.082045,3.024240,3.216667,3.000000
4399.345430,-0.032644,0.131496,3.131837,3.032644,3.263333,3.000000
4399.365700,-0.037771,0.130606,3.179394,3.037771,3.310000,3.000000
4399.385425,-0.045195,0.130194,3.229806,3.045195,3.360000,3.000000
4399.405701,-0.051971,0.130931,3.279069,3.051971,3.410000,3.000000
4399.425496,-0.055963,0.133332,3.326668,3.055963,3.460000,3.000000
4399.445893,-0.062472,0.136789,3.373211,3.062472,3.510000,3.000000
4399.465992,-0.064800,0.131948,3.424718,3.064800,3.556667,3.000000
4399.486194,-0.068869,0.135332,3.471335,3.068869,3.606667,3.000000
4399.506326,-0.064633,0.128536,3.524797,3.064633,3.653333,3.000000
4399.525731,-0.056927,0.130133,3.573200,3.056927,3.703333,3.000000
4399.546039,-0.051304,0.129255,3.624079,3.051304,3.753333,3.000000
4399.565713,-0.042350,0.128526,3.674807,3.042350,3.803333,3.000000
4399.585794,-0.031993,0.124616,3.725384,3.031993,3.850000,3.000000
4399.606433,-0.017969,0.126865,3.773135,3.017969,3.900000,3.000000
4399.625866,-0.005332,0.135485,3.814515,3.005332,3.950000,3.000000
4399.645899,0.012156,0.138699,3.857967,2.987844,3.996667,3.000000
4399.666726,0.039442,0.135145,3.905335,2.970549,4.043393,2.998113
4399.686094,0.072454,0.139654,3.945321,2.946440,4.096316,2.990636
4399.706377,0.106223,0.132774,3.992630,2.915493,4.151327,2.976550
4399.727267,0.132751,0.148414,4.022606,2.895459,4.213494,2.952129
4399.747506,0.160685,0.145227,4.060168,2.864150,4.269041,2.921446
4399.767494,0.186497,0.142408,4.091439,2.831969,4.320255,2.883975
4399.786324,0.207968,0.135661,4.125586,2.796504,4.370826,2.835392
4399.806374,0.224735,0.127379,4.156590,2.759761,4.414103,2.780212
4399.826339,0.238628,0.121933,4.184284,2.721862,4.452129,2.713494
4399.847274,0.244794,0.115526,4.211987,2.683133,4.479489,2.641741
4399.866310,0.247147,0.105702,4.234636,2.641610,4.494604,2.573262
4399.886290,0.244781,0.094490,4.253933,2.597893,4.499955,2.506684
4399.905457,0.226087,0.108251,4.273913,2.558251,4.500000,2.450000
4399.926378,0.209436,0.111095,4.290564,2.511095,4.500000,2.400000
4399.945644,0.182033,0.112845,4.317967,2.469511,4.500000,2.356667
4399.966616,0.166713,0.114977,4.333287,2.424977,4.500000,2.310000
4399.985994,0.148191,0.114286,4.351809,2.380953,4.500000,2.266667
4400.006012,0.132256,0.118396,4.367744,2.338396,4.500000,2.220000
4400.026585,0.117836,0.119894,4.382164,2.296561,4.500000,2.176667
4400.045981,0.099708,0.123238,4.400292,2.256571,4.500000,2.133333
4400.065980,0.082757,0.119804,4.417243,2.213137,4.500000,2.093333
4400.086295,0.065048,0.121043,4.434952,2.171043,4.500000,2.050000
4400.106221,0.048870,0.121928,4.451130,2.128594,4.500000,2.006667
4400.126366,0.035395,0.123058,4.464605,2.086391,4.500000,1.963333
4400.147177,0.020380,0.115939,4.479620,2.035939,4.500000,1.920000
4400.166223,0.012292,0.123903,4.487708,1.997237,4.500000,1.873333
4400.189165,-0.010942,0.120003,4.510942,1.950003,4.500000,1.830000
4400.206446,-0.016368,0.130532,4.516368,1.917199,4.500000,1.786667
4400.226241,-0.024848,0.128476,4.524848,1.875143,4.500000,1.746667
4400.247720,-0.030017,0.125328,4.530017,1.831994,4.500000,1.706667
4400.266791,-0.032546,0.123082,4.532546,1.789748,4.500000,1.666667
4400.286846,-0.030959,0.122430,4.530959,1.745764,4.500000,1.623333
4400.307923,-0.043318,0.124535,4.543318,1.704535,4.500000,1.580000
4400.327899,-0.047796,0.125285,4.547796,1.665285,4.500000,1.540000
4400.346789,-0.053084,0.129803,4.553084,1.626469,4.500000,1.496667
4400.367453,-0.052451,0.124067,4.552451,1.584067,4.500000,1.460000
4400.386910,-0.055099,0.124856,4.555099,1.544856,4.500000,1.420000
4400.408096,-0.055987,0.127989,4.555987,1.507989,4.500000,1.380000
4400.428212,-0.058137,0.126411,4.558137,1.469744,4.500000,1.343333
4400.448511,-0.062699,0.117585,4.562699,1.424252,4.500000,1.306667
4400.467185,-0.056625,0.135425,4.556625,1.402092,4.500000,1.266667
4400.486708,-0.056836,0.133097,4.556836,1.366430,4.500000,1.233333
4400.506967,-0.064629,0.130429,4.564629,1.333762,4.500000,1.203333
4400.525896,-0.059324,0.124249,4.559324,1.294249,4.500000,1.170000
4400.550221,-0.058424,0.124423,4.558424,1.261090,4.500000,1.136667
4400.565859,-0.054940,0.123702,4.554940,1.227035,4.500000,1.103333
4400.585859,-0.050024,0.128342,4.550024,1.198342,4.500000,1.070000
4400.605913,-0.045735,0.127131,4.545735,1.167131,4.500000,1.040000
4400.625578,-0.036982,0.121598,4.536982,1.134932,4.500000,1.013333
4400.646695,-0.025876,0.123471,4.529701,1.105867,4.499722,0.983328
4400.666583,-0.011709,0.126156,4.521243,1.077892,4.497822,0.953377
