t,eC,eL,pos_x,pos_y,ref_x,ref_y
5479.358103,-0.011643,0.012175,1.444492,3.011643,1.456667,3.000000
5479.363929,-0.011647,0.025485,1.444515,3.011647,1.470000,3.000000
5479.383777,-0.016786,0.041514,1.445153,3.016786,1.486667,3.000000
5479.404353,-0.015588,0.039983,1.446684,3.015588,1.486667,3.000000
5479.424617,-0.014451,0.037795,1.448872,3.014451,1.486667,3.000000
5479.444908,-0.012843,0.034628,1.452039,3.012843,1.486667,3.000000
5479.465105,-0.011556,0.031511,1.455156,3.011556,1.486667,3.000000
5479.484731,-0.011107,0.030425,1.459575,3.011107,1.490000,3.000000
5479.504736,-0.010409,0.028264,1.465069,3.010409,1.493333,3.000000
5479.524743,-0.009409,0.031097,1.472236,3.009409,1.503333,3.000000
5479.544747,-0.009197,0.030028,1.479972,3.009197,1.510000,3.000000
5479.564734,-0.009130,0.031479,1.488521,3.009130,1.520000,3.000000
5479.584710,-0.010369,0.035808,1.497525,3.010369,1.533333,3.000000
5479.604720,-0.014048,0.033603,1.509730,3.014048,1.543333,3.000000
5479.624771,-0.010680,0.042928,1.517072,3.010680,1.560000,3.000000
5479.644701,-0.010021,0.045800,1.527533,3.010021,1.573333,3.000000
5479.664758,-0.009636,0.042170,1.541163,3.009636,1.583333,3.000000
5479.684707,-0.008634,0.047048,1.552952,3.008634,1.600000,3.000000
5479.704715,-0.007524,0.048738,1.567929,3.007524,1.616667,3.000000
5479.724704,-0.007337,0.050907,1.582426,3.007337,1.633333,3.000000
5479.744557,-0.008065,0.051461,1.598539,3.008065,1.650000,3.000000
5479.764639,-0.008021,0.053472,1.616528,3.008021,1.670000,3.000000
5479.784208,-0.007504,0.056140,1.633860,3.007504,1.690000,3.000000
5479.804763,-0.006436,0.058432,1.651568,3.006436,1.710000,3.000000
5479.824668,-0.005917,0.062059,1.671274,3.005917,1.733333,3.000000
5479.844454,-0.004126,0.060771,1.692562,3.004126,1.753333,3.000000
5479.864443,-0.003970,0.068708,1.711292,3.003970,1.780000,3.000000
5479.884527,-0.003090,0.071118,1.732215,3.003090,1.803333,3.000000
5479.904428,-0.001559,0.069388,1.757279,3.001559,1.826667,3.000000
5479.924813,-0.000621,0.071307,1.782026,3.000621,1.853333,3.000000
5479.944355,0.000642,0.072941,1.807059,2.999358,1.880000,3.000000
5479.964860,-0.002601,0.073086,1.836914,3.002601,1.910000,3.000000
5479.984645,-0.001638,0.070820,1.869180,3.001638,1.940000,3.000000
5480.004320,-0.000875,0.107716,1.865618,3.000875,1.973333,3.000000
5480.024278,0.002107,0.090562,1.902771,2.997893,1.993333,3.000000
5480.044593,0.003842,0.076706,1.936627,2.996158,2.013333,3.000000
5480.064133,0.005692,0.080726,1.969274,2.994308,2.050000,3.000000
5480.084569,0.006096,0.085848,2.000819,2.993904,2.086667,3.000000
5480.104275,0.007542,0.091289,2.032045,2.992458,2.123333,3.000000
5480.124070,0.006972,0.092550,2.064116,2.993028,2.156667,3.000000
5480.144754,0.008370,0.092887,2.097113,2.991630,2.190000,3.000000
5480.164781,0.008520,0.095830,2.130837,2.991480,2.226667,3.000000
5480.184790,0.009104,0.098450,2.164884,2.990896,2.263333,3.000000
5480.205067,0.010036,0.102204,2.197796,2.989964,2.300000,3.000000
5480.225102,0.010002,0.102526,2.234141,2.989998,2.336667,3.000000
5480.244862,0.005996,0.104818,2.268515,2.994004,2.373333,3.000000
5480.264993,0.011385,0.102502,2.307498,2.988615,2.410000,3.000000
5480.284997,0.012276,0.104317,2.345683,2.987724,2.450000,3.000000
5480.306166,0.011317,0.105802,2.384198,2.988683,2.490000,3.000000
5480.325095,0.010474,0.106516,2.423484,2.989526,2.530000,3.000000
5480.344752,0.008634,0.110717,2.462617,2.991366,2.573333,3.000000
5480.364678,0.008787,0.110504,2.502830,2.991213,2.613333,3.000000
5480.384712,0.000109,0.111274,2.545393,2.999891,2.656667,3.000000
5480.404740,0.007711,0.117498,2.582502,2.992289,2.700000,3.000000
5480.424419,0.009618,0.115044,2.624956,2.990382,2.740000,3.000000
5480.444357,0.008343,0.115713,2.667620,2.991657,2.783333,3.000000
5480.464351,0.007073,0.116462,2.710205,2.992927,2.826667,3.000000
5480.484705,0.004511,0.114506,2.755494,2.995489,2.870000,3.000000
5480.504726,0.004058,0.116968,2.799699,2.995942,2.916667,3.000000
