t,eC,eL,pos_x,pos_y,ref_x,ref_y
6802.440811,-0.009094,0.013697,1.022970,3.009094,1.036667,3.000000
6802.445414,-0.009082,0.027021,1.022979,3.009082,1.050000,3.000000
6802.467343,-0.024701,0.034742,1.028592,3.024701,1.063333,3.000000
6802.487942,-0.019721,0.040568,1.029432,3.019721,1.070000,3.000000
6802.508536,-0.014403,0.042930,1.033736,3.014403,1.076667,3.000000
6802.526842,-0.013705,0.042536,1.034130,3.013705,1.076667,3.000000
6802.546515,-0.011961,0.038345,1.038322,3.011961,1.076667,3.000000
6802.566711,-0.011371,0.034928,1.041738,3.011371,1.076667,3.000000
6802.588609,-0.011110,0.036435,1.043565,3.011110,1.080000,3.000000
6802.608805,-0.011274,0.032193,1.051140,3.011274,1.083333,3.000000
6802.628364,-0.011392,0.031272,1.058728,3.011392,1.090000,3.000000
6802.647654,-0.011741,0.035743,1.064257,3.011741,1.100000,3.000000
6802.666947,-0.012376,0.036968,1.073032,3.012376,1.110000,3.000000
6802.687675,-0.012915,0.033259,1.083408,3.012915,1.116667,3.000000
6802.707832,-0.014130,0.035852,1.094148,3.014130,1.130000,3.000000
6802.727298,-0.013994,0.036127,1.107206,3.013994,1.143333,3.000000
6802.747354,-0.014746,0.041664,1.118336,3.014746,1.160000,3.000000
6802.767349,-0.015070,0.045744,1.130922,3.015070,1.176667,3.000000
6802.788732,-0.014680,0.045432,1.144568,3.014680,1.190000,3.000000
6802.807503,-0.015066,0.046762,1.159905,3.015066,1.206667,3.000000
6802.828911,-0.015568,0.047719,1.175614,3.015568,1.223333,3.000000
6802.847580,-0.017045,0.051612,1.191722,3.017045,1.243333,3.000000
6802.867217,-0.017474,0.054106,1.209227,3.017474,1.263333,3.000000
6802.888450,-0.018804,0.054973,1.228360,3.018804,1.283333,3.000000
6802.908482,-0.018083,0.056642,1.246691,3.018083,1.303333,3.000000
6802.927209,-0.018327,0.059763,1.266903,3.018327,1.326667,3.000000
6802.949688,-0.019112,0.062700,1.287300,3.019112,1.350000,3.000000
6802.967829,-0.018986,0.064589,1.308744,3.018986,1.373333,3.000000
6802.987787,-0.018231,0.065270,1.331397,3.018231,1.396667,3.000000
6803.008181,-0.017128,0.066590,1.353410,3.017128,1.420000,3.000000
6803.027295,-0.016378,0.070422,1.376245,3.016378,1.446667,3.000000
6803.046757,-0.015223,0.072488,1.400845,3.015223,1.473333,3.000000
6803.066785,-0.013973,0.075056,1.424944,3.013973,1.500000,3.000000
6803.086831,-0.008975,0.076529,1.450784,3.012338,1.526724,2.999285
6803.107720,-0.004044,0.075532,1.478703,3.009227,1.553372,2.997143
6803.126932,0.002886,0.076618,1.507134,3.002933,1.583165,2.993035
6803.146950,0.008526,0.078421,1.534331,2.996506,1.612656,2.987143
6803.166953,0.013669,0.080111,1.561041,2.989091,1.641741,2.979489
6803.186951,0.020844,0.082593,1.588755,2.978053,1.673450,2.968951
6803.207265,0.026916,0.083198,1.614338,2.966538,1.701331,2.957674
6803.231650,0.030996,0.083729,1.642884,2.954488,1.731451,2.943205
6803.252296,0.037741,0.084390,1.671770,2.937379,1.763383,2.925005
6803.272024,0.044207,0.088537,1.696280,2.920785,1.793893,2.904508
6803.288120,0.049588,0.089334,1.722578,2.901635,1.822814,2.881826
6803.308700,0.056049,0.089718,1.746684,2.879853,1.849991,2.857080
6803.329162,0.062291,0.087675,1.770587,2.855048,1.875276,2.830405
6803.352669,0.069052,0.088691,1.792141,2.828993,1.900544,2.799274
6803.372439,0.073381,0.090668,1.814870,2.801798,1.925005,2.763383
6803.391920,0.079306,0.089604,1.833254,2.771944,1.944742,2.728483
6803.411552,0.083869,0.089203,1.851525,2.739900,1.962893,2.689024
6803.431495,0.087652,0.087830,1.867813,2.706055,1.977551,2.648138
6803.451445,0.090996,0.089973,1.881745,2.672194,1.989304,2.602866
6803.471484,0.091177,0.088130,1.895289,2.636563,1.996385,2.560013
6803.491474,0.091319,0.086655,1.905557,2.600263,1.999721,2.516707
6803.507990,0.085105,0.089768,1.914895,2.563101,2.000000,2.473333
6803.531537,0.075953,0.092311,1.924047,2.525644,2.000000,2.433333
6803.548613,0.067782,0.093914,1.932218,2.487247,2.000000,2.393333
6803.572087,0.060378,0.094779,1.939622,2.448112,2.000000,2.353333
6803.592044,0.052009,0.097388,1.947991,2.410722,2.000000,2.313333
6803.611648,0.040896,0.092403,1.959104,2.365736,2.000000,2.273333
6803.631071,0.037369,0.111869,1.962631,2.341869,2.000000,2.230000
6803.651560,0.025037,0.107193,1.974963,2.300527,2.000000,2.193333
6803.672404,0.015340,0.096084,1.984660,2.256084,2.000000,2.160000
6803.691570,0.009539,0.095935,1.990461,2.212602,2.000000,2.116667
6803.711294,-0.002214,0.097074,2.002214,2.170407,2.000000,2.073333
