t,eC,eL,pos_x,pos_y,ref_x,ref_y
6226.724225,-0.012204,0.013569,2.976431,3.012204,2.990000,3.000000
6226.730304,-0.012228,0.026882,2.976451,3.012228,3.003333,3.000000
6226.751236,-0.025674,0.033896,2.982770,3.025674,3.016667,3.000000
6226.770951,-0.017129,0.040615,2.982718,3.017129,3.023333,3.000000
6226.791566,-0.015268,0.044003,2.982664,3.015268,3.026667,3.000000
6226.810429,-0.015132,0.043342,2.983324,3.015132,3.026667,3.000000
6226.831683,-0.014529,0.041302,2.985365,3.014529,3.026667,3.000000
6226.851261,-0.014211,0.037821,2.988846,3.014211,3.026667,3.000000
6226.871037,-0.013684,0.033849,2.992818,3.013684,3.026667,3.000000
6226.891044,-0.013196,0.032952,2.997048,3.013196,3.030000,3.000000
6226.911055,-0.013177,0.033108,3.003558,3.013177,3.036667,3.000000
6226.931028,-0.013078,0.032880,3.010454,3.013078,3.043333,3.000000
6226.951426,-0.013622,0.035570,3.017763,3.013622,3.053333,3.000000
6226.971629,-0.014082,0.036211,3.027123,3.014082,3.063333,3.000000
6226.991657,-0.013276,0.035855,3.037478,3.013276,3.073333,3.000000
6227.010783,-0.013484,0.037434,3.049233,3.013484,3.086667,3.000000
6227.030356,-0.013409,0.039252,3.060748,3.013409,3.100000,3.000000
6227.050394,-0.013212,0.042576,3.074091,3.013212,3.116667,3.000000
6227.071197,-0.014236,0.046703,3.086630,3.014236,3.133333,3.000000
6227.090569,-0.015049,0.049553,3.100447,3.015049,3.150000,3.000000
6227.111178,-0.014978,0.048914,3.117753,3.014978,3.166667,3.000000
6227.131015,-0.014706,0.048361,3.134972,3.014706,3.183333,3.000000
6227.151036,-0.014597,0.048433,3.154900,3.014597,3.203333,3.000000
6227.170621,-0.011740,0.060884,3.165782,3.011740,3.226667,3.000000
6227.190516,-0.012752,0.059136,3.187531,3.012752,3.246667,3.000000
6227.211454,-0.013904,0.058903,3.207764,3.013904,3.266667,3.000000
6227.230558,-0.013783,0.061606,3.228394,3.013783,3.290000,3.000000
6227.250631,-0.013788,0.063810,3.249523,3.013788,3.313333,3.000000
6227.270538,-0.012385,0.064622,3.272044,3.012385,3.336667,3.000000
6227.290536,-0.012425,0.067566,3.295768,3.012425,3.363333,3.000000
6227.311471,-0.012743,0.070743,3.319257,3.012743,3.390000,3.000000
6227.331441,-0.011699,0.070850,3.345816,3.011699,3.416667,3.000000
6227.351440,-0.010970,0.070511,3.372823,3.010970,3.443333,3.000000
6227.371238,-0.011061,0.073419,3.399914,3.011061,3.473333,3.000000
6227.390516,-0.010601,0.076301,3.427032,3.010601,3.503333,3.000000
6227.411229,-0.010589,0.078681,3.454653,3.010589,3.533333,3.000000
6227.430892,-0.012146,0.081987,3.481346,3.012146,3.563333,3.000000
6227.451105,-0.014323,0.082917,3.510417,3.014323,3.593333,3.000000
6227.471833,-0.015015,0.081976,3.541358,3.015015,3.623333,3.000000
6227.491080,-0.015365,0.083555,3.573112,3.015365,3.656667,3.000000
6227.511090,-0.016526,0.086656,3.603344,3.016526,3.690000,3.000000
6227.531103,-0.017485,0.087962,3.635371,3.017485,3.723333,3.000000
6227.551568,-0.019519,0.087990,3.668676,3.019519,3.756667,3.000000
6227.571435,-0.016371,0.085834,3.704166,3.016371,3.790000,3.000000
6227.591599,-0.016428,0.082895,3.743772,3.016428,3.826667,3.000000
6227.610659,-0.031671,0.116473,3.746860,3.031671,3.863333,3.000000
6227.631503,-0.032040,0.099328,3.790672,3.032040,3.890000,3.000000
6227.652442,-0.029988,0.081132,3.832202,3.029988,3.913333,3.000000
6227.671906,-0.027442,0.083729,3.869604,3.027442,3.953333,3.000000
6227.692091,-0.023278,0.083895,3.909438,3.023278,3.993333,3.000000
6227.714145,-0.011800,0.090714,3.943673,3.016716,4.033396,2.998883
6227.731842,0.000075,0.092029,3.978820,3.007883,4.069954,2.995082
6227.751347,0.009871,0.090336,4.015762,2.998135,4.106134,2.988606
6227.771934,0.019905,0.089672,4.053351,2.985475,4.144942,2.978531
6227.790547,0.028013,0.092428,4.089708,2.972511,4.185925,2.964146
6227.809813,0.034432,0.092004,4.124803,2.957867,4.222517,2.947757
6227.830461,0.043501,0.093804,4.157807,2.938506,4.260537,2.926756
6227.850632,0.049231,0.091391,4.191018,2.918398,4.293893,2.904508
6227.870454,0.058669,0.091340,4.220458,2.893083,4.327889,2.877477
6227.890801,0.063719,0.092156,4.252007,2.867867,4.361727,2.845186
6227.911944,0.072087,0.091063,4.277133,2.838526,4.390320,2.812491
6227.932623,0.076190,0.092638,4.303259,2.810210,4.417812,2.774651
6227.951978,0.082251,0.091462,4.326117,2.776635,4.441648,2.734408
6227.971860,0.083183,0.089923,4.350271,2.743173,4.461619,2.692113
6227.991381,0.089305,0.089262,4.365810,2.706933,4.477551,2.648138
6228.011089,0.090328,0.089479,4.383640,2.669287,4.489981,2.599593
6228.031447,0.089656,0.085702,4.398851,2.629014,4.497143,2.553372
6228.051124,0.086944,0.085327,4.411878,2.590841,4.499955,2.506684
6228.072408,0.076347,0.090726,4.423653,2.550726,4.500000,2.460000
6228.091771,0.070864,0.091881,4.429136,2.508548,4.500000,2.416667
6228.110882,0.056500,0.093823,4.443500,2.467156,4.500000,2.373333
6228.131201,0.045550,0.092544,4.454450,2.422544,4.500000,2.330000
6228.150858,0.034577,0.093099,4.465423,2.379766,4.500000,2.286667
6228.170818,0.026774,0.099346,4.473226,2.339346,4.500000,2.240000
6228.191416,0.020545,0.101611,4.479455,2.298277,4.500000,2.196667
6228.210279,0.020705,0.100035,4.479295,2.256702,4.500000,2.156667
6228.231466,0.014548,0.099610,4.485452,2.212943,4.500000,2.113333
6228.252062,0.008377,0.099419,4.491623,2.169419,4.500000,2.070000
6228.272461,0.004038,0.099152,4.495962,2.125818,4.500000,2.026667
6228.291694,0.000075,0.103205,4.499925,2.083205,4.500000,1.980000
6228.310845,-0.006194,0.103020,4.506194,2.039687,4.500000,1.936667
6228.330801,-0.015485,0.102677,4.515485,1.996010,4.500000,1.893333
