vx,vy,omega,delta,T,eps_vx,eps_vy,eps_omega
0.400000,0.020000,0.000000,-0.010839,0.520000,0.027794,0.580848,3.517115
0.473268,0.579485,3.482178,-0.043603,0.530000,-0.174154,-0.163724,-0.903120
0.376661,0.214663,2.773762,-0.071467,0.540000,-0.242600,-0.076625,-2.153962
0.184164,0.000355,0.036270,-0.077180,0.550000,0.013174,-0.000152,-0.001423
0.246126,-0.007173,-0.184456,-0.076685,0.560000,-0.029871,0.000862,0.023556
0.266474,-0.008139,-0.215565,-0.075871,0.570000,-0.055241,0.001580,0.043490
0.262526,-0.007937,-0.210151,-0.075427,0.580000,-0.011774,0.000328,0.009048
0.303103,-0.009043,-0.240556,-0.074317,0.590000,0.003952,-0.000126,-0.003774
0.360308,-0.010492,-0.281513,-0.071539,0.600000,-0.009898,0.000187,0.004991
0.404526,-0.011282,-0.305464,-0.068159,0.610000,-0.006980,0.000060,0.001180
0.452581,-0.011935,-0.326524,-0.064074,0.620000,-0.003556,-0.000088,-0.003447
0.504932,-0.012420,-0.344270,-0.059521,0.630000,-0.003717,-0.000805,-0.020870
0.557894,-0.013289,-0.370844,-0.054043,0.640000,-0.007223,-0.000532,-0.017947
0.608187,-0.012847,-0.370236,-0.048369,0.650000,-0.007858,-0.000283,-0.009179
0.658617,-0.012049,-0.352272,-0.043272,0.660000,-0.010521,-0.000260,-0.007959
0.707099,-0.011364,-0.337427,-0.038708,0.670000,-0.000528,-0.000372,-0.012460
0.766316,-0.010780,-0.327328,-0.032698,0.680000,-0.007187,-0.000331,-0.010914
0.819443,-0.009658,-0.302719,-0.027041,0.690000,-0.005670,-0.001154,-0.030249
0.874846,-0.009219,-0.291316,-0.022214,0.700000,0.000957,-0.001197,-0.039126
0.937490,-0.008192,-0.276010,-0.016911,0.709151,-0.006575,-0.000559,-0.017589
0.993058,-0.006197,-0.223241,-0.011925,0.717819,-0.005861,-0.000540,-0.017272
1.049760,-0.004633,-0.177012,-0.007025,0.725574,-0.005346,-0.000312,-0.011068
1.107320,-0.002890,-0.124602,-0.002604,0.732403,-0.005668,-0.000278,-0.010070
1.164789,-0.001396,-0.075271,0.001166,0.738324,-0.006367,-0.000230,-0.008444
1.221430,-0.000090,-0.028687,0.005260,0.743412,-0.006229,-0.000268,-0.010317
1.278406,0.001185,0.018196,0.008180,0.747462,-0.005433,-0.000187,-0.007484
1.335883,0.002238,0.063068,0.010944,0.750887,-0.005768,-0.000178,-0.007486
1.392743,0.003103,0.104615,0.012940,0.753743,-0.006048,-0.000123,-0.005656
1.448996,0.003733,0.141996,0.014208,0.755676,-0.007632,-0.000087,-0.004546
1.503231,0.004059,0.172046,0.015860,0.757036,-0.006481,-0.000085,-0.004947
1.558141,0.004367,0.200723,0.016594,0.757933,-0.005439,-0.000028,-0.002558
1.613494,0.004435,0.225053,0.016430,0.758245,-0.007124,0.000040,-0.000231
1.666527,0.004180,0.240348,0.016205,0.757976,-0.008453,0.000057,-0.000210
1.717516,0.003794,0.248266,0.016078,0.757618,-0.006411,0.000045,-0.000283
1.769862,0.003398,0.253180,0.016128,0.756741,-0.005654,0.000035,-0.000683
1.822165,0.003046,0.257830,0.015227,0.754965,-0.004914,0.000090,0.002249
1.874307,0.002501,0.257950,0.013161,0.752483,-0.006761,0.000171,0.005584
1.923677,0.001637,0.246128,0.011661,0.749731,-0.007090,0.000145,0.004131
1.971690,0.000853,0.227233,0.010558,0.746951,-0.006308,0.000119,0.003156
2.019471,0.000303,0.208239,0.008567,0.743194,-0.005401,0.000165,0.006378
2.067129,-0.000304,0.185936,0.005752,0.737303,-0.005577,0.000200,0.008775
2.113258,-0.001083,0.153632,0.003661,0.729324,-0.006251,0.000174,0.007136
2.157142,-0.001611,0.117261,0.002723,0.720111,-0.004121,0.000197,0.006384
2.201594,-0.001581,0.089165,0.000005,0.710850,-0.008541,0.000538,0.021320
2.239948,-0.001559,0.066660,-0.001978,0.702709,-0.003869,0.000124,0.006728
2.281524,-0.002147,0.023378,-0.004250,0.692709,-0.004157,0.000121,0.007435
2.321110,-0.002237,-0.019825,-0.004757,0.682709,0.000349,0.000022,0.001680
