t,eC,eL,pos_x,pos_y,ref_x,ref_y
18718.452653,-0.014702,0.013177,1.470156,3.014702,1.483333,3.000000
18718.458683,-0.014679,0.026505,1.470161,3.014679,1.496667,3.000000
18718.477642,-0.029072,0.031874,1.478126,3.029072,1.510000,3.000000
18718.497315,-0.025845,0.042523,1.477477,3.025845,1.520000,3.000000
18718.517537,-0.020925,0.046275,1.483725,3.020925,1.530000,3.000000
18718.537994,-0.019867,0.046063,1.483937,3.019867,1.530000,3.000000
18718.558961,-0.019208,0.043299,1.486701,3.019208,1.530000,3.000000
18718.578087,-0.018047,0.041235,1.488765,3.018047,1.530000,3.000000
18718.599205,-0.017697,0.035888,1.494112,3.017697,1.530000,3.000000
18718.618593,-0.018086,0.035393,1.497940,3.018086,1.533333,3.000000
18718.638769,-0.018270,0.036186,1.503814,3.018270,1.540000,3.000000
18718.658574,-0.017827,0.037686,1.508981,3.017827,1.546667,3.000000
18718.678733,-0.017239,0.040086,1.516581,3.017239,1.556667,3.000000
18718.699497,-0.016842,0.039388,1.523945,3.016842,1.563333,3.000000
18718.718809,-0.017237,0.038411,1.534922,3.017237,1.573333,3.000000
18718.739706,-0.017499,0.041750,1.544917,3.017499,1.586667,3.000000
18718.758583,-0.016746,0.043701,1.556299,3.016746,1.600000,3.000000
18718.778726,-0.017039,0.044311,1.569023,3.017039,1.613333,3.000000
18718.798348,-0.016586,0.045651,1.581016,3.016586,1.626667,3.000000
18718.818290,-0.015372,0.048881,1.594452,3.015372,1.643333,3.000000
18718.840887,-0.015437,0.046435,1.610231,3.015437,1.656667,3.000000
18718.862198,-0.014144,0.051390,1.625276,3.014144,1.676667,3.000000
18718.881640,-0.013890,0.050882,1.642451,3.013890,1.693333,3.000000
18718.901254,-0.013794,0.052865,1.660469,3.013794,1.713333,3.000000
18718.918494,-0.013077,0.053163,1.680170,3.013077,1.733333,3.000000
18718.938421,-0.012208,0.058874,1.697793,3.012208,1.756667,3.000000
18718.958113,-0.011275,0.061791,1.718209,3.011275,1.780000,3.000000
18718.978855,-0.009958,0.064437,1.738897,3.009958,1.803333,3.000000
18718.998478,-0.009221,0.065162,1.761504,3.009221,1.826667,3.000000
18719.019862,-0.008334,0.065851,1.784149,3.008334,1.850000,3.000000
18719.038133,-0.007002,0.068247,1.808420,3.007002,1.876667,3.000000
18719.058201,-0.005754,0.068843,1.837824,3.005754,1.906667,3.000000
18719.077895,0.000004,0.096317,1.840349,2.999996,1.936667,3.000000
18719.098171,-0.000774,0.082302,1.874364,3.000774,1.956667,3.000000
18719.117896,-0.000124,0.072051,1.904615,3.000124,1.976667,3.000000
18719.137879,-0.000501,0.077686,1.935648,3.000501,2.013333,3.000000
18719.157902,-0.000633,0.081915,1.964752,3.000633,2.046667,3.000000
18719.177899,-0.000773,0.085139,1.994861,3.000773,2.080000,3.000000
18719.198177,-0.000153,0.088922,2.024412,3.000153,2.113333,3.000000
18719.217895,0.001342,0.093040,2.053627,2.998658,2.146667,3.000000
18719.237890,0.000870,0.094307,2.085693,2.999130,2.180000,3.000000
18719.257907,-0.002139,0.096001,2.117332,3.002139,2.213333,3.000000
18719.278205,-0.001874,0.094687,2.151980,3.001874,2.246667,3.000000
18719.298426,-0.001577,0.097117,2.186216,3.001577,2.283333,3.000000
18719.318691,-0.001275,0.099800,2.220200,3.001275,2.320000,3.000000
18719.338449,-0.001820,0.101280,2.255387,3.001820,2.356667,3.000000
18719.358947,-0.002580,0.106103,2.290564,3.002580,2.396667,3.000000
18719.378876,-0.002573,0.106061,2.327272,3.002573,2.433333,3.000000
18719.398803,-0.003264,0.108859,2.364474,3.003264,2.473333,3.000000
18719.418313,-0.004036,0.110487,2.402847,3.004036,2.513333,3.000000
18719.438203,-0.003306,0.113576,2.439757,3.003306,2.553333,3.000000
18719.458116,-0.005132,0.114072,2.479261,3.005132,2.593333,3.000000
18719.478144,-0.005637,0.114631,2.518703,3.005637,2.633333,3.000000
