t,eC,eL,pos_x,pos_y,ref_x,ref_y
18568.696986,-0.010645,0.012775,1.470558,3.010645,1.483333,3.000000
18568.701904,-0.010611,0.026128,1.470538,3.010611,1.496667,3.000000
18568.721801,-0.016361,0.042623,1.470710,3.016361,1.513333,3.000000
18568.742240,-0.015876,0.035799,1.477534,3.015876,1.513333,3.000000
18568.763107,-0.014436,0.039178,1.477489,3.014436,1.516667,3.000000
18568.782874,-0.010825,0.043177,1.473489,3.010825,1.516667,3.000000
18568.802634,-0.012098,0.033540,1.483126,3.012098,1.516667,3.000000
18568.822805,-0.008559,0.032743,1.483923,3.008559,1.516667,3.000000
18568.843956,-0.012010,0.033710,1.489623,3.012010,1.523333,3.000000
18568.863664,-0.011049,0.031285,1.495382,3.011049,1.526667,3.000000
18568.882768,-0.011272,0.032022,1.501311,3.011272,1.533333,3.000000
18568.903106,-0.011503,0.032869,1.510464,3.011503,1.543333,3.000000
18568.923010,-0.011052,0.038309,1.515025,3.011052,1.553333,3.000000
18568.943292,-0.011984,0.036535,1.526799,3.011984,1.563333,3.000000
18568.963021,-0.011961,0.036224,1.537109,3.011961,1.573333,3.000000
18568.983894,-0.011674,0.043096,1.546904,3.011674,1.590000,3.000000
18569.004101,-0.012002,0.044881,1.558453,3.012002,1.603333,3.000000
18569.023915,-0.012641,0.045748,1.570919,3.012641,1.616667,3.000000
18569.044115,-0.012703,0.045860,1.584140,3.012703,1.630000,3.000000
18569.063901,-0.013316,0.046042,1.600625,3.013316,1.646667,3.000000
18569.084717,-0.010528,0.054526,1.612141,3.010528,1.666667,3.000000
18569.106696,-0.009997,0.054262,1.629072,3.009997,1.683333,3.000000
18569.126370,-0.012167,0.053125,1.650208,3.012167,1.703333,3.000000
18569.146199,-0.009771,0.054488,1.668846,3.009771,1.723333,3.000000
18569.162400,-0.008909,0.058444,1.688222,3.008909,1.746667,3.000000
18569.185441,-0.004614,0.066689,1.703311,3.004614,1.770000,3.000000
18569.202678,-0.006589,0.059872,1.730128,3.006589,1.790000,3.000000
18569.223193,-0.004874,0.062227,1.751107,3.004874,1.813333,3.000000
18569.242410,-0.004698,0.069356,1.773978,3.004698,1.843333,3.000000
18569.262782,-0.000185,0.068568,1.798098,3.000185,1.866667,3.000000
18569.282384,0.000337,0.072974,1.820359,2.999663,1.893333,3.000000
18569.303240,0.001596,0.079157,1.844176,2.998404,1.923333,3.000000
18569.322430,0.001583,0.079122,1.870878,2.998417,1.950000,3.000000
18569.343292,0.002237,0.079006,1.897661,2.997763,1.976667,3.000000
18569.362960,0.006495,0.079476,1.927190,2.993505,2.006667,3.000000
18569.382536,0.001553,0.086917,1.953083,2.998447,2.040000,3.000000
18569.402521,0.001656,0.086061,1.983939,2.998344,2.070000,3.000000
18569.422496,0.002048,0.085678,2.014322,2.997952,2.100000,3.000000
18569.442893,0.007278,0.090539,2.046128,2.992722,2.136667,3.000000
18569.462507,0.001493,0.095629,2.074371,2.998507,2.170000,3.000000
18569.482802,0.002122,0.096279,2.107054,2.997878,2.203333,3.000000
18569.502566,0.002883,0.097142,2.139525,2.997117,2.236667,3.000000
18569.522798,0.007298,0.102955,2.167045,2.992702,2.270000,3.000000
18569.543118,0.005431,0.098071,2.205262,2.994569,2.303333,3.000000
18569.563112,0.004421,0.097089,2.242911,2.995579,2.340000,3.000000
18569.582821,0.003460,0.100601,2.279399,2.996540,2.380000,3.000000
18569.602934,0.003453,0.103661,2.316339,2.996547,2.420000,3.000000
18569.622868,0.002865,0.106536,2.353464,2.997135,2.460000,3.000000
18569.642645,0.002420,0.108905,2.391095,2.997580,2.500000,3.000000
18569.662910,0.003624,0.105804,2.430863,2.996376,2.536667,3.000000
18569.682529,0.004831,0.110351,2.469649,2.995169,2.580000,3.000000
18569.702724,0.005836,0.110330,2.509670,2.994164,2.620000,3.000000
18569.722664,0.006229,0.113176,2.550157,2.993771,2.663333,3.000000
18569.742705,0.007634,0.111767,2.591567,2.992366,2.703333,3.000000
18569.762463,0.008529,0.112776,2.633891,2.991471,2.746667,3.000000
18569.782451,0.009294,0.113906,2.676094,2.990706,2.790000,3.000000
18569.803113,0.010402,0.117988,2.718678,2.989598,2.836667,3.000000
18569.822331,0.011283,0.117928,2.762072,2.988717,2.880000,3.000000
18569.842714,0.011800,0.107592,2.815742,2.988200,2.923333,3.000000
18569.862713,0.011984,0.103374,2.869959,2.988016,2.973333,3.000000
18569.882538,0.012288,0.170200,2.859800,2.987712,3.030000,3.000000
18569.902761,0.016195,0.135126,2.921541,2.983805,3.056667,3.000000
18569.922742,0.018111,0.110400,2.972933,2.981889,3.083333,3.000000
18569.942764,0.019586,0.110825,3.025841,2.980414,3.136667,3.000000
18569.962470,0.017518,0.110928,3.075739,2.982482,3.186667,3.000000
18569.982539,0.013718,0.118022,3.121978,2.986282,3.240000,3.000000
18570.002488,0.009884,0.118987,3.171013,2.990116,3.290000,3.000000
18570.022546,0.004255,0.117871,3.218796,2.995745,3.336667,3.000000
18570.043110,-0.006291,0.125555,3.261112,3.006291,3.386667,3.000000
18570.062866,-0.012816,0.124665,3.308668,3.012816,3.433333,3.000000
18570.083024,-0.023127,0.122637,3.354030,3.023127,3.476667,3.000000
18570.102999,-0.027752,0.121576,3.401758,3.027752,3.523333,3.000000
18570.122656,-0.033009,0.119147,3.450853,3.033009,3.570000,3.000000
18570.142972,-0.037798,0.121515,3.498485,3.037798,3.620000,3.000000
18570.162996,-0.040568,0.122341,3.544325,3.040568,3.666667,3.000000
18570.182986,-0.042482,0.121067,3.592266,3.042482,3.713333,3.000000
18570.202320,-0.043294,0.122492,3.637508,3.043294,3.760000,3.000000
18570.222566,-0.045828,0.130765,3.675902,3.045828,3.806667,3.000000
18570.242574,-0.041557,0.118220,3.728447,3.041557,3.846667,3.000000
18570.263129,-0.037056,0.117412,3.772588,3.037056,3.890000,3.000000
18570.283224,-0.022337,0.121018,3.815649,3.022337,3.936667,3.000000
18570.303175,-0.008980,0.124617,3.855383,3.008980,3.980000,3.000000
18570.323177,0.015108,0.125512,3.894031,2.989535,4.020047,2.999598
18570.343342,0.039188,0.125675,3.930544,2.972565,4.060013,2.996385
18570.363949,0.065572,0.121251,3.973728,2.950266,4.106134,2.988606
18570.382913,0.097827,0.128921,4.001667,2.922328,4.154508,2.975528
18570.402833,0.128135,0.136422,4.030145,2.894951,4.207431,2.954942
18570.422846,0.152765,0.133606,4.062001,2.866849,4.254808,2.930201
18570.443138,0.177130,0.133633,4.090720,2.837450,4.304602,2.896507
18570.463156,0.198033,0.132793,4.118596,2.807820,4.352370,2.854733
18570.483266,0.214416,0.131944,4.144226,2.779582,4.394462,2.807245
18570.502489,0.221217,0.121902,4.176087,2.748140,4.428488,2.757678
18570.522769,0.221854,0.106033,4.211905,2.709056,4.457674,2.701331
18570.542871,0.224636,0.110926,4.232622,2.684436,4.479489,2.641741
18570.562913,0.217954,0.108813,4.258982,2.655944,4.492468,2.586458
18570.583415,0.207868,0.107052,4.282615,2.630115,4.498392,2.540062
18570.603422,0.196395,0.099815,4.303605,2.599815,4.500000,2.500000
18570.623376,0.174521,0.105551,4.325479,2.568884,4.500000,2.463333
18570.644131,0.150696,0.105990,4.349304,2.535990,4.500000,2.430000
18570.663940,0.135436,0.104574,4.364564,2.501241,4.500000,2.396667
18570.683752,0.115526,0.108061,4.384474,2.468061,4.500000,2.360000
18570.703646,0.098070,0.109550,4.401930,2.432883,4.500000,2.323333
18570.723604,0.083254,0.108955,4.416746,2.395621,4.500000,2.286667
18570.743529,0.070559,0.114209,4.429441,2.360876,4.500000,2.246667
18570.763667,0.063288,0.113654,4.436712,2.323654,4.500000,2.210000
18570.783360,0.054538,0.113758,4.445462,2.287092,4.500000,2.173333
18570.804048,0.049502,0.115972,4.450498,2.249306,4.500000,2.133333
18570.823433,0.044926,0.115873,4.455074,2.212540,4.500000,2.096667
18570.843640,0.040874,0.117062,4.459126,2.173729,4.500000,2.056667
18570.863126,0.038209,0.117135,4.461791,2.137135,4.500000,2.020000
18570.883235,0.036057,0.114621,4.463943,2.097955,4.500000,1.983333
18570.904121,0.031521,0.117746,4.468479,2.061079,4.500000,1.943333
18570.923206,0.025931,0.118759,4.474069,2.025426,4.500000,1.906667
18570.944264,0.017714,0.117714,4.482286,1.987714,4.500000,1.870000
18570.963479,0.010001,0.117070,4.489999,1.950403,4.500000,1.833333
18570.984150,0.003783,0.117982,4.496217,1.914648,4.500000,1.796667
18571.003461,-0.004572,0.119099,4.504572,1.879099,4.500000,1.760000
18571.024350,-0.006889,0.117748,4.506889,1.841082,4.500000,1.723333
18571.043710,-0.014831,0.117095,4.514831,1.803762,4.500000,1.686667
18571.064623,-0.016799,0.118671,4.516799,1.768671,4.500000,1.650000
18571.083604,-0.023686,0.120986,4.523686,1.734319,4.500000,1.613333
18571.104568,-0.025661,0.120051,4.525661,1.696718,4.500000,1.576667
