Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,angle_0,angle_1,angle_2,angle_3,polynomial,first_timestamp,sync_timestamp,first_sweep
1709637585.2922752,918,1709637585,292157384,,-0.8119322670813061,-0.8064820183630443,-0.8167297257299877,-0.8113060606832958,11,14505309,14409554,True
1709637585.2922752,919,1709637585,292158358,,-0.5393055703869765,-0.5397719171276991,-0.5527914788952772,-0.5532578256359999,11,14682258,14409555,False
1709637585.3039215,920,1709637585,305848112,,-0.8154236687536693,-0.8100000037069774,-0.8202876461859203,-0.814943970572517,11,14976540,14881053,True
1709637585.3241756,921,1709637585,328130462,,-0.5389724996319716,-0.5394655492535536,-0.5524183538189833,-0.553004625104994,11,15153775,14881053,False
1709637585.3241756,922,1709637585,328131075,,-0.8188617838736034,-0.8134514702673412,-0.8237658156271435,-0.8184620751257397,11,15447779,15352551,True
1709637585.3241756,923,1709637585,331729259,,-0.538665893339247,-0.5392257001629774,-0.552058580183119,-0.5527113702526991,11,15625293,15352552,False
1709637585.3444734,924,1709637585,351757557,,-0.8222466124411083,-0.8168762339468456,-0.8272171629782177,-0.8219134224768139,10,15919017,15824047,True
1709637585.3444734,925,1709637585,351758048,,-0.5381461408368056,-0.5388125207653944,-0.551565530561537,-0.5522450235119765,10,16096824,15824048,False
1709637585.3444734,926,1709637585,363646219,,-0.8255913866873241,-0.8202610625143505,-0.8306686295385814,-0.8253782404776073,10,16390259,16295547,True
1709637585.3747654,927,1709637585,383946032,,-0.5376797940960829,-0.538372638486952,-0.5511122968426649,-0.5518318441143935,10,16568353,16295548,False
1709637585.4050524,928,1709637585,412666315,,-0.8325209034796215,-0.8272572172995067,-0.837651432883308,-0.8324542654867626,10,555526,461339,True
1709637585.4050524,929,1709637585,412666836,,-0.537013414167494,-0.5378264215222304,-0.5503262307873671,-0.5511790540448134,10,734199,461342,False
1709637585.4151306,930,1709637585,419610810,,-0.835879029166267,-0.8306285752172924,-0.8410628451223827,-0.8359190834875561,10,1026780,932847,True
1709637585.4353294,931,1709637585,444111339,,-0.5364004400006239,-0.5373333719006483,-0.5496598508587782,-0.5505925443402235,10,1205749,932848,False
1709637585.4353294,932,1709637585,444300693,,-0.8391572846289135,-0.8340000523443676,-0.8444876088018871,-0.8393570793982006,10,1498034,1404358,True
1709637585.4454153,933,1709637585,450511313,,-0.5357741143933241,-0.5367070462933485,-0.54896676804933,-0.5500463273755019,10,1677305,1404359,False
1709637585.4655952,934,1709637585,474970920,,-0.8424753559942699,-0.8373581780310131,-0.8478590859289623,-0.8427951945181347,10,1969286,1875862,True
1709637585.4655952,935,1709637585,474971407,,-0.5351878431073134,-0.5361739423504774,-0.548433902525038,-0.5494865205517714,10,2148850,1875864,False
1709637585.475695,936,1709637585,480088730,,-0.8458202494497753,-0.8407164229269481,-0.8512038601751781,-0.8462199581976391,11,2440538,2347365,True
1709637585.495914,937,1709637585,504067859,,-0.5345748689404433,-0.5356942441693251,-0.5477675225964491,-0.54892695214662,11,2620394,2347368,False
1709637585.495914,938,1709637585,504068580,,-0.8490317477102733,-0.8439812077398754,-0.8545619858618236,-0.8495247973318554,10,2911791,2818867,True
